route_id,vehicle_id,depot,num_stops,total_students,total_distance,stops_sequence
1,0,D1,3,55,39030.0,D1 -> S128 -> S100 -> S163 -> E1
2,1,D1,5,55,46350.0,D1 -> S3 -> S91 -> S215 -> S168 -> S113 -> E1
3,2,D2,6,54,43120.0,D2 -> S152 -> S47 -> S235 -> S189 -> S11 -> S161 -> E1
4,3,D2,4,47,24880.0,D2 -> S120 -> S211 -> S87 -> S192 -> E1
5,4,D3,4,55,49770.0,D3 -> S183 -> S221 -> S138 -> S65 -> E1
6,5,D3,7,52,64310.0,D3 -> S2 -> S137 -> S80 -> S233 -> S151 -> S20 -> S75 -> E1
7,6,D4,5,53,116150.0,D4 -> S44 -> S27 -> S54 -> S124 -> S175 -> E1
8,7,D4,7,55,123420.0,D4 -> S14 -> S115 -> S17 -> S139 -> S133 -> S147 -> S202 -> E1
9,8,D5,5,53,64860.0,D5 -> S78 -> S67 -> S4 -> S172 -> S93 -> E1
10,9,D5,10,44,163030.0,D5 -> S6 -> S101 -> S22 -> S36 -> S236 -> S19 -> S94 -> S146 -> S110 -> S98 -> E1
11,10,D6,4,55,53840.0,D6 -> S177 -> S164 -> S16 -> S224 -> E1
12,11,D6,6,55,60150.0,D6 -> S50 -> S92 -> S1 -> S123 -> S213 -> S210 -> E1
13,12,D7,5,55,43230.0,D7 -> S162 -> S41 -> S228 -> S24 -> S64 -> E1
14,13,D7,4,55,33450.0,D7 -> S31 -> S191 -> S68 -> S71 -> E1
15,14,D8,5,52,38010.0,D8 -> S58 -> S130 -> S104 -> S231 -> S84 -> E1
16,15,D8,4,55,32570.0,D8 -> S89 -> S74 -> S102 -> S186 -> E1
17,16,D9,5,55,46090.0,D9 -> S226 -> S197 -> S117 -> S223 -> S158 -> E1
18,17,D9,4,55,50530.0,D9 -> S34 -> S150 -> S159 -> S195 -> E1
19,18,D10,5,53,42130.0,D10 -> S219 -> S28 -> S196 -> S121 -> S70 -> E1
20,19,D10,4,55,42780.0,D10 -> S131 -> S127 -> S212 -> S165 -> E1
21,20,D11,6,55,40470.0,D11 -> S23 -> S157 -> S140 -> S52 -> S144 -> S188 -> E1
22,21,D11,4,54,42900.0,D11 -> S9 -> S229 -> S118 -> S214 -> E1
23,22,D12,4,53,32220.0,D12 -> S184 -> S49 -> S90 -> S29 -> E1
24,23,D12,6,55,33280.0,D12 -> S154 -> S106 -> S55 -> S208 -> S217 -> S10 -> E1
25,24,D13,5,55,44060.0,D13 -> S225 -> S33 -> S200 -> S141 -> S227 -> E1
26,25,D13,4,54,53950.0,D13 -> S241 -> S199 -> S77 -> S32 -> E1
27,26,D14,6,53,61850.0,D14 -> S30 -> S238 -> S185 -> S51 -> S42 -> S237 -> E1
28,27,D14,9,54,68180.0,D14 -> S136 -> S129 -> S207 -> S60 -> S132 -> S7 -> S109 -> S203 -> S134 -> E1
29,28,D15,8,54,62370.0,D15 -> S156 -> S170 -> S35 -> S230 -> S88 -> S209 -> S73 -> S205 -> E1
30,29,D15,6,55,51170.0,D15 -> S43 -> S145 -> S179 -> S59 -> S82 -> S39 -> E1
31,30,D16,5,53,79880.0,D16 -> S8 -> S135 -> S81 -> S187 -> S57 -> E1
32,31,D16,5,55,88370.0,D16 -> S116 -> S166 -> S148 -> S37 -> S174 -> E1
33,32,D17,12,55,88650.0,D17 -> S125 -> S26 -> S96 -> S178 -> S18 -> S99 -> S69 -> S155 -> S240 -> S12 -> S56 -> S86 -> E1
34,33,D17,6,54,66890.0,D17 -> S169 -> S182 -> S72 -> S160 -> S85 -> S112 -> E1
35,34,D18,3,52,58100.0,D18 -> S63 -> S61 -> S114 -> E1
36,35,D18,7,51,68550.0,D18 -> S181 -> S40 -> S153 -> S76 -> S194 -> S46 -> S25 -> E1
37,36,D19,5,55,49270.0,D19 -> S122 -> S15 -> S108 -> S142 -> S201 -> E1
38,37,D19,5,55,41310.0,D19 -> S83 -> S143 -> S53 -> S103 -> S216 -> E1
39,38,D20,7,55,52010.0,D20 -> S190 -> S232 -> S167 -> S62 -> S220 -> S171 -> S234 -> E1
40,39,D20,5,55,29780.0,D20 -> S180 -> S107 -> S45 -> S149 -> S5 -> E1
41,40,D21,10,54,57350.0,D21 -> S204 -> S111 -> S21 -> S206 -> S105 -> S222 -> S239 -> S218 -> S97 -> S198 -> E1
42,41,D22,1,55,52490.0,D22 -> S119 -> E1
43,42,D23,3,54,35010.0,D23 -> S79 -> S95 -> S193 -> E1
44,43,D24,7,53,50990.0,D24 -> S126 -> S38 -> S176 -> S66 -> S13 -> S48 -> S173 -> E1
