Parking Name,Latitude,Longitude,Counts
Mudichur,12.9087824349875,80.0687318469876,2
Urapakkam (Vandalur),12.862808789785,80.0735509827197,1
KPM (White gate),12.84784,79.705164,3
Cheyyar,12.665127,79.540271,1
Arakkonam,13.085169,79.665196,2
Arcot,12.9041500356722,79.3236221196629,
Andarkuppam,13.3018159935211,80.1605308905006,9
Ayapakkam (Giri Parking),13.0983519675888,80.1375425674804,5
Kovilambakkam,12.945952533589,80.183073,13+1W
Vyasarpadi,13.1183954531132,80.2590355221496,20+2W
Red Hills,13.186653,80.197489,3
Thachoor Koot Road (Petrol Bunk),13.1963833344187,80.1811696507241,
Velachery,12.981663,80.218068,10+W
Avadi (Kavarapalayam),13.1190381599159,80.084833580844,4
Veppamapattu,13.124703,80.005885,4
Ennore,13.210716,80.316931,4
VGP (Golden Beach),12.913878,80.250407,2
Uthukottai,13.334127,79.893983,
Thiruthani,13.173458,79.614228,
Uthiramerur,12.615191,79.759303,
Chengalpet,12.678989,79.99472,2
Sholinghur,13.112056,79.420393,
Minjur,13.290183,80.2006356,1
Vandhavasi,12.500417,79.602335,
Dusi (Sekar),12.775559,79.678338,3
Nemili,12.982936,79.618367,
Kelambakkam,12.790579,80.219958,
Lucas,13.1023727191351,80.1865509033309,18
Thachoor Koot Road,13.1963833344187,80.1811696507241,
Sathya Garden,13.045805,80.198909,16
Vellore,12.923571,79.133324,
Veerapuram,12.755278,80.009527,3
Thiruvallur (Manavalan nagar),13.110843,79.910306,1
Kallikuppam,13.131989,80.166861,6
Thiruvallur (Venakatesan G),13.120736,79.910514,1
Arani (Indian Oil Petrol Bunk),12.667029,79.278153,
