cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
1,13.082620771063809,80.21183769606327,13.0847586,80.2129237,"2nd Avenue, Anna Nagar West",arterial,34690559,265.22,8
2,13.12634784022321,79.92635294524777,13.1351028,79.9280273,Chennai Tirupati Highway,highway,1040827858,990.25,4
3,13.116918592790952,80.09716538535774,13.1170738,80.0971726,Mount - Poonamallee - Avadi Road,arterial,1211048656,17.28,15
4,13.09239193116354,79.66110672458932,13.0920259,79.6597475,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,84658041,152.73,9
5,12.686879751326144,79.98191982372616,12.6870617,79.9830675,Chennai - Trichy - Dindugal Road (Old NH45),arterial,24161891,126.13,4
6,13.262342032353786,80.15518784667486,13.2623414,80.1551664,Korathalaiyar Bridge - Puthur Road,highway,1154910864,2.32,2
7,13.03163720496702,80.11164547233135,13.031605,80.1112411,Poonamallee - Kundrathur - Pallavaram Road,arterial,835655062,43.95,9
8,13.124541533623342,80.25796601803866,13.1245748,80.2592435,MKB Nagar West Avenue,arterial,125180620,138.39,4
9,12.924961856962328,79.56852754305379,12.9254005,79.5687631,Arakkonam - Ocheri Road,arterial,564913947,55.05,5
10,13.023201537425267,80.23100190070849,13.0249641,80.229518,Anna Salai (Mount Road),arterial,443502558,253.48,4
11,12.716942328542949,79.75715753716207,12.7188324,79.754445,Uthiramerur - Kancheepuram Road,arterial,209681806,361.57,2
12,13.13097310814956,80.16615264691717,13.1320013,80.1660151,Vanagaram - Ambathur - Puzhal Road,arterial,751462336,115.3,7
13,13.333985853909809,79.89262805799855,13.3341007,79.8929482,Korathalaiyar Bridge - Puthur Road,highway,549616113,36.92,4
15,12.835468413346378,79.70768360290232,12.8355222,79.7078226,Hospital Road,arterial,32761614,16.21,11
16,13.025690920470966,80.17634689081648,13.0252898,80.1759326,Mount - Poonamallee - Avadi Road,arterial,761177260,63.28,2
17,13.0569317255466,80.27083326008996,13.0567791,80.2739347,Triplicane High Road,arterial,23019250,336.38,14
18,13.081467336194512,80.16809681752537,13.0818793,80.167803,Ramalingam saalai,arterial,752130034,55.78,21
19,13.413372474992244,80.11330453516312,13.4139922,80.1151976,Unnamed primary Road,arterial,581838305,216.04,2
20,13.13454086205975,80.20868791975018,13.1351816,80.2098419,Paper Mills Road,arterial,911275606,143.84,10
21,12.953121680720876,79.93886781482135,12.9525135,79.9399916,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,832454586,139.3,6
22,12.951680308624526,80.13682593917683,12.9495179,80.138621,Grand Southern Trunk Road,arterial,1211048661,309.28,6
23,13.115500196881944,80.28619774598208,13.1167159,80.283897,Thiruvottriyur High Road,arterial,1232326683,283.47,9
24,13.18379030122148,80.31132454887681,13.1849493,80.3114817,Chennai - Ennore Road,arterial,907799580,129.99,5
25,13.191581507752474,80.17962829136786,13.1952574,80.1777497,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,25394839,456.54,2
26,12.797840750142791,80.02137267953152,12.7989985,80.0226061,Grand Southern Trunk Road,highway,47572742,185.63,4
27,12.915537839549048,80.08761533518268,12.9196973,80.0869566,Tambaram - Mudichur - Sriperumbudur Road,arterial,721905363,467.99,9
28,12.977419321635525,80.13224575099113,12.9770067,80.1320063,Poonamallee - Kundrathur - Pallavaram Road,arterial,1363528604,52.71,16
29,13.179788936203796,79.61243258350711,13.1793895,79.6115045,Ma. Po. C. Road,arterial,911291509,109.86,5
30,12.793430140141464,79.81776617381347,12.7933636,79.8178369,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,831640380,10.66,6
31,12.918900454260772,80.15486891605474,12.9231659,80.1538887,Velachery Mudhanmai Salai,arterial,1148733672,486.05,10
32,13.027945986760397,80.20805521847984,13.027796,80.2082834,Jafferkhanpet Bridge,arterial,32424222,29.82,5
33,12.98342203605229,80.2578188478451,12.9832551,80.2575773,South Avenue,arterial,42020510,32.09,2
34,13.103550934156624,80.2519818887984,13.1035002,80.2529142,Cooks Road,arterial,23802573,101.13,6
35,13.070054520420586,80.22749197579847,13.068517,80.2261386,Nelson Manickam Road,arterial,275459528,225.21,14
36,13.152549493345989,80.237209667149,13.1505038,80.2415827,Unnamed secondary Road,arterial,1189343702,525.31,2
37,13.275562761781485,80.26162296117322,13.2751483,80.260377,Thiruvottriyur – Ponneri – Panchetty Road,arterial,1287028661,142.5,3
38,13.0462298448018,80.0848786782305,13.0463264,80.0849846,ORR service Road,arterial,1075006740,15.71,9
39,13.088889751109996,80.12978154640203,13.0881008,80.1252887,Thiruverkadu - Ambattur Road,arterial,1347596045,494.45,2
40,13.056233610054882,80.19594660037016,13.0571047,80.1941496,Kaliamman Koil Street,arterial,838091913,217.42,19
41,13.119613458572452,80.20417785868955,13.1232674,80.2018604,Jawaharlal Nehru Road (100 Feet Road),arterial,1316912345,477.56,27
42,13.129873349348673,80.13286209547833,13.130706,80.1330252,Chennai - Tiruttani - Renigunta Road,highway,817536016,94.26,13
43,13.003945393238858,79.99962916727894,13.0062991,79.9953555,NH48,highway,136727938,531.87,3
44,12.980867308905532,80.18651559892987,12.9787201,80.1939603,Mount - Medavakkam Road,arterial,179253495,841.25,13
45,13.088904140654591,80.19178855744467,13.0875325,80.1920138,Thirumangalam – Mogappair Road,arterial,843594863,154.46,27
46,13.122177919119272,80.22332122031882,13.1224548,80.2235171,Paper Mills Road,arterial,28342112,37.39,13
47,13.086888839463906,79.90139050190255,13.0869963,79.9077995,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,694.24,2
48,12.815960216486982,79.70859056001126,12.8151564,79.7053506,Uthiramerur - Kancheepuram Road,arterial,834966304,362.48,7
49,13.015203054925164,80.12098863247968,13.0111299,80.1239061,Kodambakkam – Sriperumbudur Road,arterial,834623262,552.3,6
50,13.161250706513508,80.3010353869372,13.1607411,80.3024955,Chennai - Ennore Road,arterial,1122275985,167.94,5
51,12.996819305191435,80.10061615205886,12.9978281,80.1002267,Poonamallee - Kundrathur - Pallavaram Road,arterial,31241495,119.85,7
52,13.10981109864585,80.15588399160723,13.109856,80.1523849,Chennai - Tiruttani - Renigunta Road,highway,722405205,378.97,10
53,13.13222393156614,79.90986098974811,13.1318929,79.9094373,Unnamed primary Road,arterial,1055265031,58.82,9
54,13.15224195437762,80.06799700253805,13.1463268,80.0682604,Unnamed secondary Road,arterial,1123856583,658.35,2
55,13.06318556978147,80.15473215151661,13.0634201,80.1522393,Vanagaram - Ambathur - Puzhal Road,arterial,27880100,271.28,6
56,12.992212594216772,80.203068687769,12.9935659,80.2012362,Mount - Medavakkam Road,arterial,361730132,249.13,12
57,13.039425227599622,80.13282477708043,13.039243,80.1326199,Mount - Poonamallee - Avadi Road,arterial,31962666,30.05,22
58,12.756344136211087,79.99991451547419,12.7553182,80.0013978,Grand Southern Trunk Road,highway,1349158493,197.21,2
59,12.957480787177213,80.18484991913861,12.9576676,80.186963,Mount - Medavakkam Road,arterial,837321907,229.92,7
60,13.037428134403225,80.21942859207384,13.0369284,80.2207584,Arya Gowda Road,arterial,25466339,154.4,10
61,12.803462655646609,79.77038047204923,12.8041561,79.7706057,Chengalpattu - Kancheepuram Highway,highway,84658039,80.88,3
62,13.035265931399111,80.2759796136646,13.0337796,80.2757149,Rosary Church Road,arterial,26529168,167.74,5
63,13.121472048268052,80.06096188116003,13.1226102,80.0604854,NH716,highway,1300224278,136.67,3
64,13.10906717022178,80.10846390145836,13.1091269,80.1085469,Mount - Poonamallee - Avadi Road,arterial,755068758,11.18,11
65,12.93233973274596,80.21300843515913,12.9336637,80.2039283,Velachery Mudhanmai Salai,arterial,1232329871,995.0,3
66,13.051662052604998,80.05994111612448,13.0547892,80.0599222,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,834684190,347.73,4
67,13.088140173320271,80.26027278844961,13.0876039,80.2606991,Purasaiwalkam Flyover,arterial,30247201,75.42,11
68,13.071230680628728,80.11839817417234,13.0715396,80.1230343,Thiruverkadu - Ambattur Road,arterial,1347596043,503.33,5
69,12.821720059620214,79.72686021058269,12.8203597,79.7273676,Chengalpattu - Kancheepuram Highway,highway,84658039,160.96,3
70,13.078934425091596,80.18213066823385,13.0784242,80.181082,Thiruvalluvar Saalai,arterial,102484441,126.96,19
71,13.207576941634963,80.1725528765573,13.2075756,80.172949,Grand Northern Trunk Road,highway,1286735946,42.88,4
72,13.106209211754484,80.18350696214277,13.1081301,80.1834405,East avenue Road,arterial,1363505643,213.71,9
73,12.82102567346264,79.69366818125398,12.8191819,79.6943775,Kancheepuram - Vandavasi Road,arterial,102270131,218.97,14
74,12.968166591078454,79.9566146203494,12.9694094,79.9545373,Chennai - Ranipet - Chitoor - Kolar - Bangalore,highway,1188088369,264.13,3
75,13.077646635180384,80.24639629204239,13.0780203,80.2463862,EVR Periyar Salai,arterial,1149819100,41.56,3
76,13.042682811716986,80.19429250037606,13.0428158,80.1935263,Munusamy Salai,arterial,26526086,84.31,12
77,12.906297683062698,80.14145880548459,12.9061658,80.1424292,Camp Salai,arterial,726604160,106.19,6
78,13.036917123661029,80.16262283429889,13.0379832,80.1627415,Arcot Road,arterial,1300448237,119.24,15
79,13.062532577325712,80.21305176893826,13.0624349,80.2117816,Jawaharlal Nehru Road (100 Feet Road),arterial,1096912096,138.01,13
80,13.123376287067682,80.02659685056886,13.1245513,80.0267371,Chennai - Tiruttani - Renigunta Road,highway,555262938,131.54,3
81,13.096235721435706,80.22970328356865,13.0994339,80.230833,Konnur High Road,arterial,1078702794,376.08,9
82,13.15811715586459,80.19838145114333,13.1589595,80.1981907,Vanagaram - Ambathur - Puzhal Road,arterial,1307491535,95.91,2
83,12.927147806118978,80.1289091991557,12.9228912,80.1294777,Velachery Mudhanmai Salai,arterial,760457096,477.31,6
84,13.076843275299884,79.67377266160427,13.077617,79.6715888,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,22832401,251.7,4
85,13.122038374635157,80.14919408082487,13.1218836,80.1485657,NH716,highway,845727147,70.19,26
86,13.097581345071449,80.14222565820694,13.0976007,80.1423119,Thiruverkadu - Ambattur Road,arterial,385244157,9.58,10
87,12.966931567465116,80.19645005060794,12.9648168,80.1963361,MDR622,arterial,1112206456,235.48,14
88,13.025491426606765,80.14779837816447,13.024856,80.1483408,Kodambakkam – Sriperumbudur Road,arterial,837078806,91.9,7
89,13.045576523801223,80.11750405146496,13.0455781,80.1176539,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,1211048659,16.23,20
90,12.939394480162548,80.18153523280601,12.939126,80.1824432,Mount - Medavakkam Road,arterial,179253392,102.83,9
91,13.026499055601764,80.25506401038743,13.027091,80.2554072,RA Puram 2nd Main Road,arterial,23047576,75.6,3
92,12.925445711696325,80.10462414851317,12.9255129,80.1043544,Tambaram - Mudichur - Sriperumbudur Road,arterial,1392613845,30.17,6
93,13.075338925800883,80.26508826792458,13.0759816,80.2647518,Pantheon Road,arterial,1177893279,80.22,6
94,12.86328489321894,80.07184675660787,12.8628066,80.0737661,Grand Southern Trunk Road,highway,95222430,214.76,5
95,12.926004316102134,80.14250618918327,12.9225079,80.1424396,Velachery Mudhanmai Salai,arterial,760457096,388.85,8
96,13.115222533417075,80.2371344102974,13.1137025,80.2355125,Paper Mills Road,arterial,1309299238,243.76,16
97,13.10309359680567,80.20789605423643,13.1029941,80.208108,Konnur High Road,arterial,1031561520,25.48,11
98,12.98030424317803,80.218591531421,12.9801601,80.2184738,Velachery Bypass Road,arterial,721922454,20.48,6
99,12.844089629874263,79.69673289250744,12.8443535,79.6965267,Unnamed secondary Road,arterial,31649726,36.89,10
100,13.13647589506582,80.10560043020695,13.1371067,80.1033265,Kovilpadagai Main Road,arterial,34654903,256.03,4
101,13.119843805795004,80.07532092944493,13.1192226,80.0754362,Chennai - Tiruttani - Renigunta Road,highway,1149807909,70.19,5
102,12.96172215180286,80.15147904619575,12.9593937,80.1497017,Pallavaram - Thoraipakkam Road Flyover,arterial,82874914,322.69,2
103,13.105123642340866,79.91053898489034,13.1058068,79.9087265,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,210.48,5
104,12.916067982191263,80.19044048246482,12.9172545,80.1904158,Velachery Mudhanmai Salai,arterial,133593218,131.96,4
105,13.2574482619426,80.27505694289056,13.2574964,80.2749909,Thiruvottriyur – Ponneri – Panchetty Road,arterial,1287028663,8.93,2
106,13.31975405,80.18248929999999,13.3197245,80.1825128,Unnamed primary Road,arterial,1284335451,4.15,2
107,13.06991869855681,80.03359525902509,13.0702658,80.0340024,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,827608978,58.6,3
108,13.052186908978308,80.23618015400002,13.0533668,80.2364859,Dr MGR Salai,arterial,1156857454,135.31,3
109,13.201770361762854,80.14773269296259,13.2000933,80.1473009,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,385231082,192.25,2
110,13.092734892553628,80.10813765323078,13.0926907,80.1084383,Mount - Poonamallee - Avadi Road,arterial,755068758,32.93,10
111,13.046166807978649,80.09562955881249,13.0507092,80.0967978,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,31962667,520.7,11
