cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.10700697269496,80.18359914794898,13.1081301,80.1834405,East avenue Road,arterial,1363505643,126.06,25
1,12.83834022001248,79.70159475496718,12.8386313,79.7017388,NH132B,highway,1153252424,35.94,23
2,12.91794698053083,80.07771183100246,12.9182365,80.0763806,ORR Service Road,arterial,1075043290,147.83,3
3,13.106596859504728,79.90947064579576,13.1066306,79.909061,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,44.52,13
4,13.036442278607051,80.15774923289052,13.0366911,80.1577632,Arcot Road,arterial,1313161329,27.71,15
5,13.095106749339136,79.65875023890777,13.0952783,79.6587218,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,84658041,19.32,16
6,13.1379052456147,80.25659301635318,13.1365522,80.2565655,Tondiarpet High Road,arterial,26516678,150.48,5
7,12.68123072083869,79.98157895204446,12.6810883,79.9815472,Chennai - Trichy - Dindugal Road (Old NH45),arterial,1146423040,16.21,7
8,13.02589473884988,80.2252025552276,13.0280355,80.2261679,70 Feet Road,arterial,722197014,260.0,18
9,13.016860222624423,80.00518881845183,13.0160537,80.005472,NH48,highway,834893153,94.78,4
10,12.954277856744838,80.14191023126338,12.9542247,80.1420342,Grand Southern Trunk Road,arterial,1237149196,14.68,6
11,13.145794245053196,80.05826140955051,13.1441272,80.059733,Unnamed secondary Road,arterial,837071681,244.44,2
12,13.19002425065194,80.18970071816341,13.1908713,80.190073,Grand Northern Trunk Road,highway,102550235,102.45,6
13,13.080025122313131,80.11006543468649,13.080051,80.1099993,Mount - Poonamallee - Avadi Road,arterial,834087146,7.72,13
15,13.08444518056703,80.24590478738814,13.0846071,80.2447311,Purasawalkam High Road,arterial,1081351985,128.39,17
16,13.117517024823302,80.15743963340593,13.1185829,80.1574137,Kalli Kuppam Road (KKRoad),arterial,845019223,118.55,18
17,12.94212388904608,80.20553877175988,12.9416721,80.206254,Velachery Mudhanmai Salai,arterial,179259799,92.37,3
18,12.923774782128618,79.56876212919116,12.9251652,79.5680523,Arakkonam - Ocheri Road,arterial,564913947,172.69,9
19,13.319691718966617,80.18268781888524,13.3197245,80.1825128,Unnamed primary Road,arterial,1284335451,19.29,3
