cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
3,13.124596247271532,79.93090740896669,13.1339856,79.9336624,Chennai Tirupati Highway,highway,1040827858,1085.84,3
20,12.661194841306449,79.54040608540848,12.6808598,79.5708042,Kancheepuram - Thiruvathipuram Road,arterial,687854973,3956.88,2
29,13.025955168587544,80.04845705583745,13.0367234,80.0463079,NH48,highway,102548402,1219.8,2
58,12.94446938542425,80.1614942871907,12.9535048,80.1634244,Pallavaram - Thoraipakkam Road,arterial,864059071,1026.23,2
74,12.939548282161226,80.14596484989237,12.9465623,80.1366393,Grand Southern Trunk Road,arterial,95641243,1276.56,16
94,13.3425842,80.2209773,13.3406488,80.1968868,Chennai – Pulicat Road,arterial,29310651,2615.32,2
95,13.1750723,80.0199562,13.1755133,80.0292943,Korattur – Thinnanur – Periyapalayam Road,arterial,834092625,1012.21,2
112,12.860137395236707,80.0429772146652,12.8441944,80.0598688,Grand Southern Trunk Road,highway,1230246872,2548.74,3
155,13.1684092832163,80.09568224872237,13.1782001,80.0948556,ORR Service Road,arterial,1075657733,1092.36,3
167,12.98167615302484,80.18520579570412,12.9787201,80.1939603,Mount - Medavakkam Road,arterial,179253495,1003.92,16
