cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.115381813497756,80.20463153071796,13.1156304,80.2111748,Kolathur Main Road,arterial,26518748,709.14,8
1,12.816308629276586,79.69884696645066,12.8201169,79.6963113,Kancheepuram - Vandavasi Road,arterial,102270131,504.88,2
3,13.122417980859126,79.91289567553306,13.1226788,79.9118243,Unnamed primary Road,arterial,1055265031,119.59,3
4,13.085483083348343,79.66280025033744,13.0861712,79.6626249,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,84658041,78.84,4
5,13.046646385601653,80.10086629203855,13.0496742,80.1009916,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,31962667,336.95,2
6,13.03045912436819,80.22258158958608,13.0312655,80.2229576,Govindan Road,arterial,215762527,98.48,6
7,13.120346549211048,80.07509740037719,13.1192187,80.0751791,Chennai - Tiruttani - Renigunta Road,highway,1149807909,125.72,4
8,13.063581743514414,80.15842775911958,13.0616504,80.1582527,NH48,highway,1388499571,215.59,3
9,13.163365471235736,80.30267952054933,13.1631119,80.30333,Chennai - Ennore Road,arterial,907799581,75.86,6
10,13.09632644138217,80.22930995991318,13.0995347,80.2305468,Konnur High Road,arterial,1348924564,381.06,4
11,13.123083618606277,80.14604609764004,13.1230482,80.1458401,Chennai - Tiruttani - Renigunta Road,highway,1133120918,22.65,7
12,12.917035203130531,80.09166710831575,12.9212457,80.0913589,Tambaram - Mudichur - Sriperumbudur Road,arterial,721905363,469.38,5
13,12.96572273455235,79.94938119364014,12.9671155,79.9493583,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,23650092,154.89,3
14,13.062821190601287,80.23202963422446,13.0646628,80.2347752,Nelson Manickam Road,arterial,835031834,361.08,3
15,13.028104516956954,79.80280717010297,13.0293279,79.8022854,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,arterial,95385707,147.31,2
16,13.01330147922075,80.11764100024841,13.0109233,80.1169573,Kodambakkam – Sriperumbudur Road,arterial,834623262,274.62,3
17,12.973055319708676,80.13741839395838,12.9731566,80.1374756,Poonamallee - Kundrathur - Pallavaram Road,arterial,371337614,12.86,8
18,13.04263911592254,80.17890034765958,13.0420191,80.1787443,Arcot Road,arterial,1040730357,70.98,6
19,13.07695604308657,80.17454833287975,13.0813273,80.1769953,Venugopal Street,arterial,25379394,553.62,6
20,13.118127654937611,80.28562435973926,13.1184913,80.2850868,Thiruvottriyur High Road,arterial,1220251244,70.88,3
21,13.037360641750926,80.2618685509389,13.037351,80.262067,Luz Church Road,arterial,560157905,21.52,3
22,13.154064894799513,80.1019252044686,13.1530024,80.1008462,Kovilpadagai Main Road,arterial,34654903,166.16,2
23,13.04202195361615,80.13189257679291,13.0398782,80.130958,Mount - Poonamallee - Avadi Road,arterial,31962666,258.98,7
24,13.052093542133544,80.20430244476495,13.0485088,80.205566,Arcot Road,arterial,1190292364,421.45,3
25,12.98643311393758,80.20944830386146,12.9856538,80.2177955,Velachery Bypass Road,arterial,30604301,908.57,4
26,13.12199190517603,80.22755651774145,13.1218626,80.2241143,Kumaran Nagar Main Road,arterial,26776258,373.04,11
28,13.144694423512222,80.20232519684707,13.1465007,80.2024681,Chennai Bypass,highway,1289269143,201.44,4
29,12.923191394989178,80.19578184533721,12.9228858,80.19734,Velachery Mudhanmai Salai,arterial,179259799,172.26,3
30,13.131135875567017,80.16504104389612,13.131951,80.1649128,Vanagaram - Ambathur - Puzhal Road,arterial,751462336,91.7,10
31,12.844159445809307,79.69846338059979,12.8444742,79.6980954,Chengalpattu - Kancheepuram Highway,highway,1287013339,53.07,7
32,13.15396360175105,80.07011970101523,13.1467835,80.0715394,Unnamed secondary Road,arterial,1123856583,813.06,4
33,13.114898940445295,80.10400157678197,13.116011,80.1039967,Mount - Poonamallee - Avadi Road,arterial,837790228,123.66,11
34,13.081579451751336,80.21558311295104,13.0814572,80.2177955,Anna Arch Road,arterial,102479334,240.01,8
35,13.082859913066612,79.9069135541241,13.0827085,79.9084209,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,164.12,3
36,13.093081660552588,80.25176370085175,13.0929249,80.2509258,Brick Klin Road,arterial,30972303,92.41,3
37,13.09834758555989,80.14520834190226,13.0974052,80.1451308,Thiruverkadu - Ambattur Road,arterial,385244157,105.12,3
38,13.059327781135352,80.27145901959526,13.058902,80.2741686,Triplicane High Road,arterial,23019250,297.29,9
39,13.027500611558342,80.16305607241193,13.0315093,80.1647606,Mount - Poonamallee - Avadi Road,arterial,1273585250,482.48,5
40,13.094885435951769,80.18646865945196,13.0994518,80.185559,Chennai - Tiruttani - Renigunta Road,arterial,1363505642,517.23,4
