cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.033365942004474,80.13965987167164,13.0371035,80.1396047,Mount - Poonamallee - Avadi Road,arterial,268051709,415.64,3
1,12.817191024951477,79.70344741647584,12.8174833,79.7049523,Uthiramerur - Kancheepuram Road,arterial,834966304,166.37,7
2,13.124878825872928,80.21195085872509,13.1239092,80.2121874,Poompuhar Nagar 1st Main Road,arterial,26518750,110.82,3
3,13.104333577998505,79.9060718457444,13.1039687,79.9078899,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,201.03,5
4,12.94563651245026,80.14561741755989,12.950304,80.1394839,Grand Southern Trunk Road,arterial,1237149197,843.3,4
5,13.071371200516388,79.6691896777827,13.0726692,79.6681631,Arakkonam - Ocheri Road,arterial,1053322972,182.2,3
6,13.071661139171862,80.21717633538734,13.0749577,80.217479,EVR Periyar Salai,arterial,1370773101,368.02,6
7,13.101929490796344,80.13427190036788,13.0987012,80.1336336,Thiruverkadu - Ambattur Road,arterial,385244157,365.57,6
9,13.115083584883887,80.28614235019762,13.1167159,80.283897,Thiruvottriyur High Road,arterial,1232326683,303.43,5
10,12.957463615080538,79.94437175705278,12.9575232,79.9437417,Chennai - Ranipet - Chitoor - Kolar - Bangalore,highway,1172014575,68.6,2
11,13.274825374691169,80.26205263745764,13.2747106,80.2605954,Thiruvottriyur – Ponneri – Panchetty Road,arterial,1287028661,158.22,3
12,13.037057150407984,80.27559832312537,13.0364543,80.2779211,Santhome High Road,arterial,1361398733,260.4,4
13,13.047135384508763,80.19756732219119,13.0475013,80.1977351,Arcot Road,arterial,1125360272,44.56,9
14,13.082750547679424,80.16812082433053,13.0820681,80.1682391,Unnamed secondary Road,arterial,752130033,76.96,17
15,12.922791508548732,80.10291319962278,12.9227471,80.1006833,Chennai Bypass Expressway,highway,721905352,241.72,3
16,13.049080617416331,80.09656117997238,13.0507092,80.0967978,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,31962667,182.9,5
17,13.126328589235849,79.99868645111927,13.1251819,79.9987934,Chennai Tirupati Highway,highway,1119111091,128.03,2
18,13.117037394198238,80.23374718049577,13.1156178,80.2324459,Paper Mills Road,arterial,1309299238,211.6,9
19,13.034369200526314,80.22319021324957,13.031935,80.221674,Govindan Road,arterial,215762527,316.61,9
20,13.118839113698078,80.15008228354918,13.1187501,80.1497999,Chennai - Tiruttani - Renigunta Road,highway,843594856,32.14,17
21,12.80307647720602,80.02586842745451,12.803047,80.0254875,Grand Southern Trunk Road,highway,95222417,41.43,2
22,13.162889294700104,80.25412013283696,13.1645357,80.2549705,Kamarajar Salai,arterial,31020449,204.92,4
23,12.974661991516918,80.13518058432236,12.9746111,80.1349022,Poonamallee - Kundrathur - Pallavaram Road,arterial,1363528604,30.69,10
25,13.153346507390848,80.19919636544643,13.1550707,80.1964347,Vanagaram - Ambathur - Puzhal Road,arterial,1307491535,355.21,5
26,12.918334642202243,80.07156385894733,12.9154064,80.0727971,Tambaram - Mudichur - Sriperumbudur Road,arterial,313544483,351.97,2
27,13.014704062317104,80.1190897862498,13.0107827,80.1174382,Kodambakkam – Sriperumbudur Road,arterial,834623262,471.32,5
28,12.91187127926991,80.1508699449836,12.9141177,80.1438525,Camp Salai,arterial,318843775,800.54,4
29,13.095377399703544,80.10724842423109,13.0954719,80.1083745,Mount - Poonamallee - Avadi Road,arterial,755068758,122.41,8
30,13.033289457387122,80.16843655409163,13.030647,80.1666045,Mount - Poonamallee - Avadi Road,arterial,268051706,354.58,7
31,13.085104562016104,80.25636544572943,13.0861046,80.2559113,Purasawalkam High Road,arterial,397330144,121.59,5
32,13.132613690150206,80.16682151115721,13.1321072,80.1668721,Vanagaram - Ambathur - Puzhal Road,arterial,751462335,56.58,6
33,13.064705227911558,80.14287962100876,13.0616044,80.1432719,NH48,highway,1235964076,347.4,3
34,13.086444661000046,80.18704238528308,13.0868544,80.1880842,Bazaar Road,arterial,25377899,121.69,16
35,12.927362013141964,79.88358601359812,12.9273138,79.883029,Chennai - Chittoor - Bangalore Road,arterial,840150465,60.6,2
36,13.062049678657244,80.23865903450654,13.0611425,80.2375496,Mahalingapuram Main Road,arterial,31893925,156.9,3
37,13.118517158573091,80.09939693777771,13.1195229,80.0992988,Chennai - Tiruttani - Renigunta Road,highway,1149807911,112.34,11
38,12.965520688495545,80.19077041239474,12.9654063,80.1914144,Sabari Salai,arterial,23227994,70.93,7
39,13.055229114311045,80.27270350911007,13.0552944,80.273806,Triplicane High Road,arterial,23019250,119.64,12
40,12.88204077914526,80.07821425507676,12.8812305,80.0806329,Unnamed trunk_link Road,highway,725928843,277.22,3
41,13.15312242590439,80.06039963156061,13.1542047,80.0578378,ORR Service Road,arterial,1075657801,302.37,2
