cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.038640499219468,80.13423644045643,13.0384662,80.1340463,Mount - Poonamallee - Avadi Road,arterial,268051709,28.28,33
1,12.822585258902542,79.69936417595484,12.8227337,79.6993862,Kancheepuram - Vandavasi Road,arterial,102270131,16.68,7
2,13.093039331606237,80.23075896874442,13.090716,80.228215,New Avadi Road,arterial,1206085531,377.7,2
3,13.123322719406955,80.04130583641198,13.125169,80.0414679,Chennai - Tiruttani - Renigunta Road,highway,555262938,206.05,2
4,13.108830005421291,80.18286103143953,13.108268,80.182372,East Avenue Road,arterial,25377740,81.92,10
5,12.954248028045994,80.14137763114388,12.9542247,80.1420342,Grand Southern Trunk Road,arterial,1237149196,71.2,2
6,12.954657279099788,79.94193576676518,12.9549227,79.9413541,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,388711031,69.6,4
7,13.063913761761375,80.27132714737965,13.0641713,80.2739412,Triplicane High Road,arterial,1279992152,284.59,6
8,12.685545841236411,79.98033892125844,12.6865695,79.9832383,Chennai - Trichy - Dindugal Road (Old NH45),arterial,24161891,334.49,4
9,12.9231608390049,79.56784575166006,12.9249194,79.5674622,Arakkonam - Ocheri Road,arterial,564913947,199.91,2
10,13.038387525756413,80.20272428630942,13.0381432,80.2047161,Unnamed secondary Road,arterial,1267323746,217.47,8
11,13.098806728890256,80.10652755933211,13.1003268,80.1072515,4th Main Road,arterial,25469761,186.32,5
12,13.1465560779422,79.90235247217534,13.1433873,79.9002602,Chennai Tirupati Highway,highway,1040827857,418.9,2
14,13.011640556581105,80.00345503605108,13.0131029,80.0010834,NH48,highway,136727938,304.07,6
15,13.332542387274248,79.88939165033143,13.331968,79.8897538,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,502930048,74.93,3
16,12.992243894929292,80.25904008914999,12.9916943,80.2560746,Dr. Muthulakshmi Road,arterial,1149820894,327.07,2
17,12.91405130298089,80.08995593551055,12.9197511,80.0872767,Tambaram - Mudichur - Sriperumbudur Road,arterial,721905363,697.14,3
18,13.12871628048806,80.25323237055663,13.1308106,80.2513305,Tondiarpet High Road,arterial,837847795,310.88,9
20,12.805147874793477,79.76420618888687,12.8051068,79.7644347,Chengalpattu - Kancheepuram Highway,highway,84658039,25.19,2
21,13.064524399946714,80.18860602043073,13.0714757,80.1861915,EVR Periyar Salai,arterial,59294074,816.0,5
22,13.070256123723489,79.67060355242597,13.0712681,79.6721329,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,22832401,200.26,4
23,13.124750348358262,80.15607373401656,13.1261475,80.1532066,Vanagaram - Ambathur - Puzhal Road,arterial,25392702,347.18,5
24,12.92645935841867,80.12591949169281,12.923089,80.1256888,Velachery Mudhanmai Salai,arterial,183386551,375.6,6
25,13.11461958161116,80.28632339715855,13.1160606,80.28344,Thiruvottriyur High Road,arterial,1232326683,350.97,11
26,13.180640675014308,79.61096928682127,13.1814005,79.6109786,Chennai - Tiruthani - Renigunta Road,arterial,1040097924,84.49,3
27,13.117727421858625,80.22140484739931,13.1206971,80.224142,Paper Mills Road,arterial,28342112,443.74,12
28,13.066345942665304,80.2175854884364,13.064291,80.2116247,Jawaharlal Nehru Road (100 Feet Road),arterial,69610256,684.89,11
29,13.045443684750571,80.11515646942469,13.045151,80.1151138,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,1210791247,32.87,16
30,12.615198336860896,79.75899673899019,12.6152364,79.7591194,Bukkathurai - Uthiramerur Road,arterial,84658230,13.97,2
31,13.0775527626694,80.16644311885238,13.0811073,80.1652734,Unnamed secondary Road,arterial,1371962516,415.06,11
32,13.119029202352788,80.09571250878678,13.1193904,80.0956543,Chennai - Tiruttani - Renigunta Road,highway,1149807911,40.66,14
33,12.8661791908126,80.07256469788396,12.8662618,80.0750488,Grand Southern Trunk Road,highway,95222430,269.44,8
34,13.033834844966217,80.15997751574213,13.0340882,80.160137,Mount - Poonamallee - Avadi Road,arterial,1190789209,33.05,18
35,12.926260741463729,80.15047153562499,12.9227496,80.1507165,Velachery Mudhanmai Salai,arterial,313802802,391.32,3
36,13.03258888980096,80.24951579343075,13.0312169,80.2515984,T T Krishnamachari Road,arterial,560157891,272.35,5
37,12.89667588642226,79.49775029221647,12.8964873,79.4979044,NH48,highway,1286309253,26.81,2
38,12.90455516609796,80.14455304266512,12.9045768,80.1423889,Camp Salai,arterial,726604161,234.58,3
39,13.094037758533416,80.25549005449442,13.0934773,80.2588649,Perambur Barracks Salai,arterial,1286250290,370.78,3
40,12.841869043799994,79.70406756236531,12.8416833,79.7040865,Raja Street,arterial,109340644,20.76,11
41,13.068618916315389,80.12594846080104,13.0683804,80.1257164,Thiruverkadu - Ambattur Road,arterial,96944713,36.54,6
42,13.085341459321642,80.18490795079374,13.0853256,80.1874916,Valaiyapathy Road,arterial,34570586,279.83,24
44,12.81927677197286,79.72037342162032,12.8194162,79.720753,Chengalpattu - Kancheepuram Highway,highway,84658039,43.98,3
45,13.09408802239195,80.00660122212352,13.0942574,80.006583,Korattur – Thinnanur – Periyapalayam Road,arterial,31253119,18.94,2
46,13.048924377028102,80.09278648197561,13.0501108,80.0923299,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,31962667,140.89,10
47,13.09797019558306,80.1394026682959,13.0980148,80.1393648,Thiruverkadu - Ambattur Road,arterial,385244157,6.44,3
48,12.923832988045142,80.18776751593671,12.9205732,80.1859184,Velachery Mudhanmai Salai,arterial,1020558879,414.18,4
49,13.123509639346052,80.20549756430972,13.1250374,80.2049797,Jawaharlal Nehru Road (100 Feet Road),arterial,1316912345,178.9,14
50,13.09837357940097,79.86098761925305,13.0977707,79.8605871,Kadambathur Bridge,arterial,1172469403,79.85,2
51,13.058205922054745,80.24526268571353,13.0578618,80.2428507,Valluvar Kottam High Road,arterial,1312086435,264.05,4
52,13.035123392489,80.27168673178772,13.0347529,80.2714984,Kutchery Road,arterial,102479336,45.97,5
53,13.11538570361405,80.23920507804576,13.112414,80.237619,Paper Mills Road,arterial,1254794625,372.41,12
54,13.031408864935608,80.22157349560818,13.031935,80.221674,Govindan Road,arterial,215762527,59.51,12
55,13.015369436539968,80.12261595703612,13.0114334,80.1244509,Kodambakkam – Sriperumbudur Road,arterial,834623262,480.7,4
56,13.163337052447346,80.25118852339776,13.1660194,80.2523233,Kamarajar Salai,arterial,31020449,322.58,2
57,13.292551585616495,80.14832388857386,13.2896901,80.1485414,Grand Northern Trunk Road,highway,346019779,319.05,2
58,13.096738122359836,80.20668179886749,13.1009136,80.2085855,New Avadi Road,arterial,1123373655,508.01,5
59,13.094959455515223,79.65803049257222,13.0952783,79.6587218,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,84658041,82.84,3
60,12.977468110185756,80.13199422814067,12.9770521,80.1318908,Poonamallee - Kundrathur - Pallavaram Road,arterial,1363528604,47.6,8
61,13.146789755410405,80.29515423584915,13.1456833,80.2972728,Chennai - Ennore Road,arterial,1355586773,260.31,3
62,13.02138391976419,80.17884231829201,13.0194377,80.178671,Manapakkam Main Road,arterial,25460473,217.2,4
63,13.130226017408535,80.13634548270642,13.1304851,80.136236,Chennai - Tiruttani - Renigunta Road,highway,1133120918,31.15,9
