cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.118124097661388,80.09878359417942,13.1169718,80.0985225,Mount - Poonamallee - Avadi Road,arterial,363759252,131.21,11
1,12.839294379771902,79.70490521754466,12.8410845,79.7056293,Raja Street,arterial,109340644,213.97,13
2,13.091016673444315,80.23067857133225,13.089671,80.2293713,New Avadi Road,arterial,1206085531,206.0,6
3,12.97865776128302,80.13459485748395,12.9767682,80.1326125,Poonamallee - Kundrathur - Pallavaram Road,arterial,1363528604,300.47,5
4,13.053951664115065,80.19295873036239,13.0539668,80.1925999,Kaliamman Koil Street,arterial,4748345,38.91,5
5,13.04643113860546,80.1164037387836,13.045387,80.1170762,Mount - Poonamallee - Avadi Road,arterial,31962666,137.06,4
6,13.151279067401912,80.29795588175926,13.1512785,80.2995695,Chennai - Ennore Road,arterial,1104548949,174.72,5
7,12.989222289394316,80.20249707434579,12.990266,80.1983434,Mount - Medavakkam Road,arterial,838437809,464.77,5
9,13.141541288023523,80.1992014926342,13.1408934,80.1991922,Unnamed secondary Road,arterial,836665580,72.05,4
10,13.18035438218079,79.6114448977026,13.179543,79.6111453,Ma. Po. C. Road,arterial,911291509,95.88,4
11,12.919350513421495,80.14948431213595,12.9226183,80.149272,Velachery Mudhanmai Salai,arterial,760457094,364.09,7
12,13.33217342536746,79.8970119491912,13.3345257,79.8953247,Korathalaiyar Bridge - Puthur Road,highway,549616113,318.97,3
13,13.120278710957816,80.15151113861522,13.1196455,80.1511526,North Park Street,arterial,25392315,80.41,18
14,13.026777272073202,80.2322792230132,13.0263535,80.2322719,Anna Salai (Mount Road),arterial,1020558877,47.13,4
15,12.793451081171016,79.82101525945717,12.7935569,79.8178408,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,831640380,344.42,3
17,13.087851599191843,80.1852294964122,13.0879095,80.1854152,Thirumangalam – Mogappair Road,arterial,102547878,21.12,25
18,13.097267248323664,79.65479047468739,13.0982612,79.6564881,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,84658041,214.52,8
19,12.94170378902218,80.21474309592016,12.9440759,80.2083492,Velachery Mudhanmai Salai,arterial,179259179,741.41,2
20,13.0614699670719,80.27204940803318,13.061587,80.2743142,Triplicane High Road,arterial,1279992152,245.66,9
21,12.6148734,79.7593693,12.6152364,79.7591194,Bukkathurai - Uthiramerur Road,arterial,84658230,48.63,2
22,12.918936351415216,80.08693715479663,12.9196973,80.0869566,Tambaram - Mudichur - Sriperumbudur Road,arterial,721905363,84.64,6
23,13.083120574345914,79.9087190821108,13.0827085,79.9084209,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,56.06,6
24,13.041094573286918,80.1737870619925,13.0411431,80.1737752,Arcot Road,arterial,550612245,5.55,13
25,13.13233087900521,80.25504028139656,13.1314849,80.2550537,SIDCO Main Road,arterial,26464838,94.08,9
26,13.087869738449024,80.25428265780587,13.0857644,80.2547903,Purasawalkam High Road,arterial,397330143,240.47,8
27,13.07176472282911,80.2147290691207,13.0752069,80.2153199,EVR Periyar Salai,arterial,1370773101,388.07,19
28,12.915404516458748,79.56445776930947,12.923315,79.5617223,Arakkonam - Ocheri Road,arterial,564913947,928.22,2
29,13.120331658336571,80.22443114742616,13.1206971,80.224142,Paper Mills Road,arterial,28342112,51.3,22
31,13.09699426380146,80.28494815141077,13.0968603,80.2865192,Broadway Road,arterial,22965367,170.8,2
32,12.889749859542372,80.02065346935727,12.8865422,80.0216459,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,729835688,372.54,2
33,13.015971475093703,79.73528773279398,13.0153979,79.7345157,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,arterial,95385707,105.18,2
34,12.8218491248942,79.72721163374288,12.8203597,79.7273676,Chengalpattu - Kancheepuram Highway,highway,84658039,166.48,5
