cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.064779168331064,80.13235503744922,13.0671072,80.1328558,Thiruverkadu - Ambattur Road,arterial,96944713,264.49,2
1,12.838071760020862,79.70642236993176,12.838395,79.7068631,Raja Street,arterial,109340644,59.79,19
2,12.996931198213325,80.2022521085494,12.9975496,80.2006619,Station Road,arterial,744238791,185.51,3
3,13.095027336927895,79.65829698097073,13.0952783,79.6587218,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,84658041,53.81,10
4,12.928947483653742,80.13083138422526,12.9228422,80.1304042,Velachery Mudhanmai Salai,arterial,760457096,680.45,5
5,13.131515650682305,79.92690767398781,13.1351028,79.9280273,Chennai Tirupati Highway,highway,1040827858,416.89,3
6,13.10092424676843,80.2178948606799,13.0995203,80.21777,Unnamed primary Road,arterial,1193457684,156.7,2
7,12.684406506881666,79.98005595506123,12.6826226,79.9824962,Chennai - Trichy - Dindugal Road (Old NH45),arterial,1146423040,330.79,7
8,13.3451646,80.2878794,13.3431646,80.2840393,Minjur – Kattur – Thirupalaivanam Road,arterial,25850523,471.25,2
9,13.121028407978416,80.06442803238522,13.1211095,80.0645274,Chennai - Tiruttani - Renigunta Road,highway,1096943310,14.04,4
11,13.07576339063604,80.18001963208162,13.0756255,80.1814628,Thiruvalluvar Saalai,arterial,838218813,157.06,16
12,13.119046871290314,80.15019522021578,13.1191446,80.1498794,Chennai - Tiruttani - Renigunta Road,highway,843594856,35.89,6
13,12.895296291396336,79.45832525772694,12.9005373,79.4597633,NH48,highway,568910564,603.26,2
14,13.032007201719969,80.22474560310607,13.0311889,80.2242997,Govindan Road,arterial,215762527,103.02,12
15,13.022533677526775,80.14507293208337,13.0220814,80.1455324,Kodambakkam – Sriperumbudur Road,arterial,837078806,70.76,7
16,13.188955244101384,80.3122149133101,13.1897903,80.3137978,Chennai - Ennore Expressway Road,arterial,84658038,194.91,4
17,13.030179964037714,80.26827901411242,13.030316,80.2667606,Ramkrishna Mutt Road,arterial,102479300,165.19,3
18,12.917686819891156,80.19504985760166,12.9173475,80.1946787,Velachery Mudhanmai Salai,arterial,1177309293,55.15,4
19,13.133216449072412,80.21309667867014,13.1325813,80.2120762,Paper Mills Road,arterial,911275606,131.15,4
20,13.04843812961159,80.08907936912857,13.0492974,80.0886822,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,31962667,104.79,19
21,13.042164629689315,80.11381336920275,13.0413345,80.1144761,Poonamallee - Kundrathur - Pallavaram Road,arterial,31962668,116.94,20
22,12.796789866375944,79.81716989802179,12.7960795,79.8186403,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,831640380,177.93,3
23,12.965161837767786,80.19920251293082,12.9648946,80.1993717,MDR622,arterial,1112206456,34.92,16
24,13.063673295159957,80.15872984627181,13.0623161,80.1600712,Ambattur Ramp,highway,71888342,209.49,20
25,12.914538730891524,80.07321908523043,12.9153502,80.0728737,Tambaram - Mudichur - Sriperumbudur Road,arterial,721905363,97.69,5
26,13.130245001342502,80.12988443437021,13.1308835,80.1299853,Chennai - Tiruttani - Renigunta Road,highway,817536016,71.83,9
27,13.122033594401278,80.0226053500112,13.1247548,80.0229415,Chennai - Tiruttani - Renigunta Road,highway,555262938,304.77,3
28,12.97497312436946,80.13684964608429,12.9738904,80.1361206,Poonamallee - Kundrathur - Pallavaram Road,arterial,371337614,144.0,5
