cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
23,13.339641413797091,80.21742239614095,13.3403813,80.1968952,Chennai – Pulicat Road,arterial,29310651,2222.46,2
33,12.906886141805904,80.15682737574399,12.9084595,80.1428217,Camp Salai,arterial,726604161,1528.06,5
95,13.13503837778649,79.65670990681127,13.127249,79.6414927,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,95363875,1861.6,3
117,12.981144217211453,80.18459783610051,12.9787201,80.1939603,Mount - Medavakkam Road,arterial,179253495,1049.66,18
118,13.0086519,79.84087869999999,13.0141737,79.8509073,Walajabad - Sunguvarchathiram - Keelachery Road,arterial,1270620082,1247.99,2
119,13.166248046178469,80.0977888500045,13.1556822,80.1006109,Vellanur - Red Hills Road,arterial,835741614,1213.95,2
126,12.93604921406364,80.16217127893323,12.9234465,80.1600141,Velachery Mudhanmai Salai,arterial,183386138,1420.73,4
132,13.06353598583886,80.02481101295349,13.07112,80.0332185,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,827608978,1241.16,2
156,13.04833249965518,80.13777302803925,13.0384905,80.1344554,Mount - Poonamallee - Avadi Road,arterial,31962666,1151.88,4
179,13.025830986345737,80.0799272126047,13.0293079,80.0901774,ORR Service Road,arterial,1074791869,1175.81,2
184,13.14004199333281,80.13782864560962,13.1305287,80.1364323,Chennai - Tiruttani - Renigunta Road,highway,389722996,1068.58,6
199,12.656962384710594,79.54220591272066,12.6808598,79.5708042,Kancheepuram - Thiruvathipuram Road,arterial,687854973,4084.97,3
214,13.119225235097698,79.93629734365851,13.1076983,79.9379396,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,84658049,1294.02,2
216,13.110657702369435,79.42050806253208,13.1649857,79.4372602,Chittoor - Tiruttani Road,arterial,84658009,6307.47,3
217,13.109427796752213,80.130562869654,13.098807,80.1320216,Thiruverkadu - Ambattur Road,arterial,385244157,1191.5,7
224,12.986247689653844,80.14659097110908,12.9747537,80.1552054,Grand Southern Trunk Road Flyover,arterial,1040004966,1582.63,2
225,12.939147413612387,80.1516550884786,12.9235378,80.1549907,Velachery Mudhanmai Salai,arterial,183386138,1772.95,8
