cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.094513362886335,80.19868760020842,13.0948473,80.1987604,Jawaharlal Nehru Road (100 Feet Road),arterial,1125364126,37.96,14
1,12.874703042749037,79.62146491459461,12.8743868,79.6212055,NH48,highway,1417018154,45.03,2
2,13.124918246220414,79.91194749059646,13.1248986,79.9111109,Unnamed primary Road,arterial,1055265031,90.62,17
3,13.094563998680403,79.65934237093974,13.0944283,79.6590318,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,84658041,36.87,17
4,13.099599040813692,80.13677486223766,13.0982989,80.1367939,Thiruverkadu - Ambattur Road,arterial,385244157,144.58,12
5,12.692958305965565,79.9787564446774,12.6930456,79.9794808,Chennai - Trichy - Dindugal Road (Old NH45),arterial,24161891,79.17,8
6,13.04153063848926,80.17915082548842,13.0419707,80.1790607,Arcot Road,arterial,550612245,49.9,13
7,12.824861468569509,79.70762522308543,12.8256839,79.7087387,NH132B,highway,1055050880,151.45,11
8,13.262311404406551,80.27118668594673,13.2633731,80.2712167,Thiruvottriyur – Ponneri – Panchetty Road,arterial,1287028662,118.1,2
9,13.103271478695586,80.27774235957928,13.1043717,80.2771127,North Wall Road,arterial,217674878,140.06,8
10,12.9196442875,80.1971088375,12.9197971,80.1966339,Velachery Mudhanmai Salai,arterial,1177309293,54.21,2
11,13.035716838468742,80.23496237857621,13.034401,80.235291,Burkit Road,arterial,23161560,150.58,3
12,12.887142409158338,80.02171215471512,12.8865422,80.0216459,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,729835688,67.13,2
13,13.333344542542454,79.8908942108793,13.3332104,79.8911941,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,502930048,35.71,6
14,13.16432812672244,80.256195645857,13.1640806,80.256063,Kamarajar Salai,arterial,31020449,31.05,6
15,13.034398243075138,80.11246865620888,13.0343319,80.1118429,Poonamallee - Kundrathur - Pallavaram Road,arterial,835655062,68.19,7
16,12.951494072090718,79.9408236463961,12.952297,79.9398674,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,832454586,136.78,6
17,12.9773271436386,80.20518646934822,12.9773846,80.2050099,Inner Ring Road (Southern Sector),arterial,1080320423,20.17,9
18,13.248081565192782,80.15866566403407,13.2471351,80.1575222,Grand Northern Trunk Road (Old NH5),arterial,176037626,162.46,4
19,13.129390113096036,80.15834715001337,13.1301513,80.1579207,Vanagaram - Ambathur - Puzhal Road,arterial,1318548032,96.42,20
20,12.918110949824795,80.07701901322979,12.9182365,80.0763806,ORR Service Road,arterial,1075043290,70.59,16
21,13.111774114605522,80.1089202712204,13.1116537,80.1086571,Mount - Poonamallee - Avadi Road,arterial,755068757,31.49,13
22,13.122001222910272,80.22288173877199,13.1224548,80.2235171,Paper Mills Road,arterial,28342112,85.31,27
24,12.794277491930432,79.81914643976735,12.7949463,79.8181321,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,831640380,132.77,6
25,13.074444523357714,80.21986357305813,13.0746641,80.2204278,Anna Arch Flyover,arterial,427962057,65.81,10
26,12.861795070422758,80.06671363812818,12.8594086,80.0717115,Grand Southern Trunk Road,highway,95222430,603.29,2
27,13.081903609139998,80.1676056672166,13.0819376,80.1677799,Unnamed secondary Road,arterial,752130033,19.25,44
28,13.151679587143937,80.06867133021125,13.1465905,80.0700742,Unnamed secondary Road,arterial,1123856583,585.91,6
29,12.7853719,80.22091950000001,12.7852494,80.2214988,Kovalam Road,arterial,102547885,64.28,2
30,13.011450449228358,80.0038025916875,13.0143874,80.0029045,NH48,highway,136727938,340.76,10
31,13.033418257616994,79.85349609142435,13.0332981,79.8533433,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,arterial,833415893,21.27,3
32,13.177513351323082,79.61280944771899,13.1774561,79.6131391,Ma. Po. C. Road,arterial,911291509,36.25,8
34,13.058361308509596,80.27305947184652,13.057674,80.2740306,Triplicane High Road,arterial,23019250,130.02,22
35,13.149802691115394,80.29891192717626,13.1496169,80.2990246,Chennai - Ennore Road,arterial,1122275983,23.99,11
36,13.032786543751335,80.1619469878612,13.0330722,80.1619587,Mount - Poonamallee - Avadi Road,arterial,1190789209,31.79,21
37,12.9774894821534,80.25899244214418,12.977169,80.2590972,East Coast Road,arterial,131884976,37.4,7
38,13.189620064937651,80.18845493244912,13.1890249,80.1880285,Grand Northern Trunk Road (Old NH5),arterial,827246823,80.69,6
39,13.41110320297646,80.11823545499152,13.4108881,80.1180132,Unnamed primary Road,arterial,581838300,33.91,2
40,12.80472038006653,80.0301066078442,12.8069429,80.0280351,Grand Southern Trunk Road,highway,95222417,333.95,3
41,13.10061159957477,80.2529573892062,13.1008394,80.251976,Cooks Road,arterial,23802573,109.26,14
42,13.119789247032214,80.07702087790139,13.1192219,80.0765616,Chennai - Tiruttani - Renigunta Road,highway,1096943310,80.33,12
43,13.048856524418111,80.08617752897496,13.0488497,80.0860834,NH48,highway,1235471442,10.22,19
44,13.024530543718235,80.20772565858468,13.0243279,80.2069309,Inner Ring Road,arterial,23635145,89.0,9
45,13.07085328530304,80.12333483652337,13.0705637,80.1231061,Thiruverkadu - Ambattur Road,arterial,1347596043,40.63,9
46,13.128226808473876,80.12543552266264,13.1292397,80.1245085,Chennai - Tiruttani - Renigunta Road,highway,817536016,150.87,9
47,12.969339865511142,80.18487424605526,12.9675137,80.1892184,Mount - Medavakkam Road,arterial,1082485674,512.66,8
48,13.136957681452865,80.20472625701957,13.1389565,80.2055024,Unnamed secondary Road,arterial,836665580,237.62,15
49,13.000728355152184,80.13049072331812,13.0023584,80.126943,Chennai Bypass Expressway,highway,31242168,424.97,2
50,13.037430301221608,80.134394647127,13.0382972,80.1344583,Mount - Poonamallee - Avadi Road,arterial,268051709,96.64,29
51,12.818088411560955,79.69240787057203,12.8180001,79.6928601,Kancheepuram - Vandavasi Road,arterial,102270131,50.01,19
52,13.082746549581374,79.90867456878642,13.0827085,79.9084209,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,27.8,10
53,12.973547938792668,80.13587418106637,12.9738904,80.1361206,Poonamallee - Kundrathur - Pallavaram Road,arterial,371337614,46.51,20
54,13.033897979850956,80.27359599879817,13.0342553,80.2737173,Rosary Church Road,arterial,26529168,41.85,9
55,13.185386747668526,80.3096541787223,13.1854132,80.3093183,Chennai - Ennore Road,arterial,907799580,36.48,8
56,13.086028445341269,80.19168572079508,13.0874236,80.1918431,Thirumangalam – Mogappair Road,arterial,102547878,156.07,31
57,13.109892548836736,79.95521820602762,13.1080662,79.9545997,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,84658049,213.84,2
58,13.043853743336754,80.19020637251616,13.046474,80.1898411,Arcot Road,arterial,1300653477,294.03,28
59,13.118954079603736,80.02844575248893,13.1185951,80.0290826,Korattur – Thinnanur – Periyapalayam Road,arterial,349521474,79.68,4
60,13.176511354439343,80.02230991771056,13.1770065,80.0292554,Korattur – Thinnanur – Periyapalayam Road,arterial,834092625,753.98,3
61,13.121328626497595,80.14696768004569,13.122126,80.1473929,Chennai - Tiruttani - Renigunta Road,highway,125180603,99.91,43
62,13.152014685673125,79.8919166053927,13.1519612,79.8912899,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,830928084,68.12,4
63,12.803504251405757,79.76961778722054,12.8041774,79.7695704,Chengalpattu - Kancheepuram Highway,highway,84658039,75.03,5
64,12.99822993747506,80.11002803352805,12.995972,80.1098672,Poonamallee - Kundrathur - Pallavaram Road,arterial,31241495,251.68,6
65,12.928955810891178,80.10790847295013,12.9274352,80.1094038,Gandhi Road,arterial,30119505,234.21,8
66,13.057017413594444,80.21313691812884,13.0567417,80.2116008,Jawaharlal Nehru Road (100 Feet Road),arterial,1040143394,169.19,17
67,13.319755750379102,80.18263742294594,13.3197245,80.1825128,Unnamed primary Road,arterial,1284335451,13.93,5
68,13.13344053598566,80.25606774628437,13.1314706,80.255641,SIDCO Main Road,arterial,26464838,223.87,11
69,13.106370816782247,80.18343259401716,13.1081301,80.1834405,East avenue Road,arterial,1363505643,195.63,17
70,12.922570653625332,80.16151437179565,12.9230834,80.1611906,Velachery Mudhanmai Salai,arterial,183386138,66.95,7
71,12.899698700000007,79.67729805717775,12.9008584,79.6841849,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,704209766,757.51,2
72,13.14160618547001,80.22979102644983,13.1389282,80.227882,Erukkancheri High Road,arterial,102550220,362.5,6
73,12.881397016625009,79.93732681710462,12.8808739,79.9360836,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,84086843,146.78,3
74,13.060370464353012,80.1662027350184,13.0597073,80.1658048,Alapakkam Main Road,arterial,25454759,85.41,15
75,12.977861657171353,80.22293116866594,12.9772234,80.223144,Taramani Link Road,arterial,25689918,74.62,13
76,13.116305537130826,80.28320801161685,13.1160606,80.28344,Thiruvottriyur High Road,arterial,1232326683,37.05,13
77,13.20865311953627,80.27277341072268,13.2088899,80.2709992,Thiruvottriyur – Ponneri – Panchetty Road,arterial,833439136,193.86,5
78,12.987760817105071,80.20052149747028,12.988482,80.1978903,Mount - Medavakkam Road,arterial,838437809,296.15,19
79,13.097326375430104,80.21995578515207,13.0964042,80.2195671,New Avadi Road,arterial,1125570656,110.85,19
80,13.120250067702036,80.21080617669284,13.120354,80.2122833,Poompuhar Nagar 1st Main Road,arterial,26518750,160.38,19
81,13.0485769717284,80.05739512408911,13.0548192,80.058341,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,834684190,701.63,2
82,13.033535550742878,79.81030941110926,13.0335924,79.8110431,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,arterial,95385707,79.73,2
83,12.87360551472924,79.69565329151274,12.8735781,79.6957549,Chengalpattu - Kancheepuram Highway,highway,831743297,11.43,2
84,12.73764346399222,79.99617224807098,12.741449,79.991076,Grand Southern Trunk Road,highway,760164439,696.11,2
85,12.968608430163606,79.95436328506113,12.9687716,79.9541371,NH48,highway,1188088367,30.49,7
86,12.839317954622413,80.05476235321406,12.8395098,80.0549493,Grand Southern Trunk Road,highway,1080757453,29.43,2
87,13.139542101588155,80.10533912666028,13.1397638,80.1040154,Kovilpadagai Main Road,arterial,34654903,145.44,5
88,13.0877007007156,80.25951904568484,13.0868879,80.259132,Purasaiwalkam Flyover,arterial,1313651448,99.63,15
89,12.957072055638395,80.18522887900204,12.9569984,80.1869316,Mount - Medavakkam Road,arterial,1294655394,184.69,7
90,13.3451646,80.2878794,13.3431646,80.2840393,Minjur – Kattur – Thirupalaivanam Road,arterial,25850523,471.25,2
91,13.089366148203757,80.10901912995521,13.0894081,80.1085882,Mount - Poonamallee - Avadi Road,arterial,755068757,46.9,13
92,13.13444732272679,79.92222358181526,13.1367858,79.9227684,Chennai Tirupati Highway,highway,30435936,266.64,12
93,13.043630237158771,80.22078441468915,13.0430598,80.2213102,Brindavan Street Ext,arterial,25466413,85.25,19
94,13.097467225534018,80.23670575531104,13.0981056,80.2369494,Konnur High Road,arterial,1048280714,75.73,15
96,13.079127117691492,80.17949391330086,13.0793691,80.1804729,Thiruvalluvar Saalai,arterial,838218813,109.4,28
97,13.054340227932766,80.23735088891559,13.0533203,80.2371994,Dr MGR Salai,arterial,1359489693,114.59,7
98,13.061181710132796,80.15063519338229,13.0617444,80.1508318,NH48,highway,1235964075,66.09,12
99,12.989548921446383,80.25719473082276,12.9896739,80.2559477,Dr. Muthulakshmi Road,arterial,1311723473,135.83,4
100,12.818040169068214,79.72877452281564,12.8188812,79.7294265,Chengalpattu - Kancheepuram Highway,highway,84658039,117.23,8
101,13.105588847459142,79.90907882185775,13.1058068,79.9087265,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,45.2,14
102,12.837651492359756,79.70445392526689,12.8372445,79.7042783,Nellukara Street,arterial,95385725,49.1,29
103,13.07428847063054,79.67209169885848,13.0738929,79.6712574,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,22832401,100.5,6
104,13.015035173447462,80.17149612865566,13.0131817,80.1717078,Manapakkam Main Road,arterial,446961639,207.37,6
105,13.059510855736844,80.19455717411032,13.059329,80.1951842,Kaliamman Koil Street,arterial,838091914,70.87,15
106,13.121822399399964,79.99914835501974,13.125131,79.9984883,Chennai Tirupati Highway,highway,1119111091,374.78,4
107,13.085325078985525,80.20821542175524,13.0850874,80.2083439,"2nd Avenue, Anna Nagar West",arterial,549373929,29.87,17
108,13.128518808394908,80.2424543619331,13.1285265,80.2422558,Moolakadai Flyover,arterial,102550206,21.52,9
109,12.93486527847736,80.12348875373605,12.9337623,80.1248194,Grand Southern Trunk Road,arterial,30751002,189.31,4
110,12.8119312976065,79.70769151428506,12.8103336,79.7075141,Military Road,arterial,209681804,178.69,15
111,12.960570359422633,80.24869636219834,12.9619476,80.2459712,Rajiv Gandhi Salai,arterial,1148738735,332.65,2
112,13.023085716396738,80.14753274581261,13.0235949,80.1471267,Kodambakkam – Sriperumbudur Road,arterial,133602693,71.7,16
113,13.128956182335704,80.28961630345913,13.1284983,80.290607,Thiruvottriyur High Road,arterial,1040720212,118.75,15
114,13.118105322724606,80.09581978957962,13.1177488,80.09512,Unnamed primary Road,arterial,1122592763,85.53,13
115,13.10062524896773,80.15756130300434,13.1021828,80.1589995,Chennai - Tiruttani - Renigunta Road,highway,125180598,232.93,6
116,13.155230894928238,80.19733775874901,13.1554335,80.1965834,Vanagaram - Ambathur - Puzhal Road,arterial,1307491535,84.73,3
120,13.039007878626816,80.202874800533,13.0381432,80.2047161,Unnamed secondary Road,arterial,1267323746,221.43,19
121,13.121304302071731,80.23404136807073,13.116406,80.2311419,Paper Mills Road,arterial,1309299240,628.69,8
122,12.679060159161107,79.98078000205419,12.6789938,79.9803614,Chennai - Trichy - Dindugal Road (Old NH45),arterial,1146423039,46.01,9
123,13.050061008437106,80.11484885796376,13.0505253,80.1125138,Mount - Poonamallee - Avadi Road,arterial,84658033,258.16,19
124,13.010954357277438,80.11975868124364,13.0101429,80.1196984,Kodambakkam – Sriperumbudur Road,arterial,834623262,90.47,10
125,13.084156630439155,80.2475254205113,13.0857683,80.2473857,Purasawalkam High Road,arterial,237621835,179.85,14
127,12.99784534858886,80.09597762887225,12.9978856,80.0965092,Kodambakkam – Sriperumbudur Road,arterial,25453303,57.77,11
128,12.906702917483484,80.22982826215781,12.9067263,80.2283336,Rajiv Gandhi Salai,arterial,1251058799,162.02,3
129,12.901981317546468,80.08366516574647,12.8974003,80.0893772,Grand Southern Trunk Road,highway,47572728,801.74,3
130,13.097536055146414,80.05769541492064,13.0961538,80.0527667,ORR Service Road,arterial,1075752787,555.48,2
131,13.118722817965184,80.2565683107536,13.1189157,80.2568038,SHU87,arterial,1153966435,33.32,12
