cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.085740565232031,80.18572560774201,13.0853256,80.1874916,Valaiyapathy Road,arterial,34570586,196.76,23
1,12.827256147062108,79.7181201271287,12.821499,79.7157519,Chengalpattu - Kancheepuram Highway,highway,84658039,689.74,3
3,13.136558554402654,79.91145872453949,13.1372549,79.9111444,Chennai Tirupati Highway,highway,30435936,84.58,2
4,13.070885194586708,79.67164805037272,13.0712681,79.6721329,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,22832401,67.61,4
5,13.087141202143613,80.11409736234386,13.0867912,80.1086689,Mount - Poonamallee - Avadi Road,arterial,755068757,589.23,2
6,13.095040820699277,80.28854851517251,13.0952729,80.2863062,Broadway Road,arterial,1076737430,244.22,4
7,12.697765905148934,79.97441971039382,12.6975652,79.975166,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,513392674,83.97,2
8,13.265619668027794,80.26917937863278,13.2645938,80.2688901,Thiruvottriyur – Ponneri – Panchetty Road,arterial,1287028661,118.29,2
9,13.04160268890488,80.17270859105183,13.0409958,80.1730657,Arcot Road,arterial,30833812,77.78,11
10,12.992162109096393,80.20155878438975,12.9935511,80.201192,Mount - Medavakkam Road,arterial,361730132,159.48,10
11,12.867020214736364,80.0752074560638,12.8667259,80.0752166,Grand Southern Trunk Road,highway,95222430,32.74,6
12,13.125883637391384,80.20608057645745,13.1256671,80.2058404,Jawaharlal Nehru Road (100 Feet Road),arterial,32520563,35.44,5
13,13.10345171899411,80.13261723695474,13.0988606,80.1326533,Thiruverkadu - Ambattur Road,arterial,385244157,510.52,6
14,13.030120961945729,80.21812882837925,13.0314836,80.2178206,11th Avenue,arterial,23698639,155.15,15
15,12.900443206704214,79.46008362133355,12.9005766,79.4603288,NH48,highway,568910564,30.43,2
17,13.121667593816644,80.03400139539151,13.1222483,80.0317629,Korattur – Thinnanur – Periyapalayam Road Flyover,arterial,25395088,250.86,3
18,13.050354087928168,80.09297700360057,13.0503555,80.0930111,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,31962667,3.7,15
19,13.160501661920676,80.3007835215375,13.1607411,80.3024955,Chennai - Ennore Road,arterial,1122275985,187.27,6
20,13.25323569441373,80.15634801037753,13.2533194,80.1553167,Grand Northern Trunk Road (Old NH5),arterial,176037626,112.01,2
21,12.926771970508469,80.12700698612264,12.9230283,80.1269008,Velachery Mudhanmai Salai,arterial,183386551,416.44,9
22,13.085700097747893,80.22922215691281,13.0830631,80.2286862,Kilpauk Garden Road,arterial,26969168,298.91,8
23,13.038645417510503,80.13384948709646,13.038487,80.1339955,Mount - Poonamallee - Avadi Road,arterial,268051709,23.67,39
24,12.793616016031343,79.81896729935329,12.7935569,79.8178408,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,831640380,122.33,3
25,12.973162103814117,80.14015175327276,12.9721829,80.1397979,Poonamallee - Kundrathur - Pallavaram Road,arterial,371337614,115.44,9
26,13.011269852459847,80.00299026535227,13.0131029,80.0010834,NH48,highway,136727938,290.21,5
27,13.05689641994262,80.27243128614585,13.0567791,80.2739347,Triplicane High Road,arterial,23019250,163.37,13
28,13.098196290003882,79.65859017801668,13.0975896,79.65678,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,84658041,207.33,5
29,13.3025743108982,80.1605298604706,13.3018787,80.1609157,Chennai – Pulicut Road,arterial,1284335446,87.9,2
30,13.118178565766094,80.09568086398244,13.1178807,80.0950543,Unnamed primary Road,arterial,1122592763,75.5,9
31,13.11773222770672,80.22432366593412,13.1188184,80.225731,Paper Mills Road,arterial,28342112,194.46,12
32,12.926154248691796,79.57046965219885,12.92619,79.5704931,Arakkonam - Ocheri Road,arterial,564913947,4.72,2
33,12.973478176066848,80.2553123542587,12.9730626,80.2581315,East Coast Road,arterial,1193823163,308.95,3
34,12.955011350943542,80.18630853013097,12.9550428,80.1868073,Mount - Medavakkam Road,arterial,1030689334,54.16,4
35,12.904276024407764,80.07448746965696,12.9050715,80.0721126,ORR Service Road,arterial,1075043290,272.18,2
36,13.070631357245954,80.21654862437002,13.0750179,80.2170777,EVR Periyar Salai,arterial,1370773101,491.12,14
37,13.131034401919424,80.16989036199324,13.1310203,80.170651,Chennai Bypass,highway,96936222,82.38,9
38,12.804671207901762,79.76719616342541,12.8045127,79.767335,Chengalpattu - Kancheepuram Highway,highway,84658039,23.18,3
39,13.113650804748673,80.28094548223172,13.1135051,80.2820421,Thiruvottriyur High Road,arterial,23966118,119.86,6
40,13.081440768859386,80.16712534448722,13.0816033,80.1668227,Ramalingam saalai,arterial,752130034,37.43,17
41,13.119436119722844,80.25442363587048,13.1199382,80.2550193,SHU87,arterial,378622074,85.31,5
42,12.9980083,80.0950611,12.9975061,80.0953519,Kodambakkam – Sriperumbudur Road,arterial,25453303,64.12,2
43,12.923067697163845,80.18800709332552,12.9204579,80.1861011,Velachery Mudhanmai Salai,arterial,1020558879,356.21,4
44,13.055707938682804,80.19609005950502,13.0567751,80.1939784,Kaliamman Koil Street,arterial,838091913,257.68,14
45,13.08034373994397,79.90853267159598,13.0802719,79.908786,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,28.58,3
46,13.015971475093703,79.73528773279398,13.0153979,79.7345157,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,arterial,95385707,105.18,2
47,13.044618188092876,80.1138795804201,13.0454661,80.1138672,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,1211048657,94.29,17
48,13.212090900000002,80.27158946666667,13.2122145,80.2716101,Thiruvottriyur – Ponneri – Panchetty Road,arterial,1060970110,13.92,3
49,13.187058433096414,80.31231796686637,13.1850313,80.3123488,Manali High Road,arterial,29201146,225.43,7
50,13.196896670543182,80.17335757123489,13.1943508,80.1743944,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,385231084,304.53,3
51,12.873611113192144,79.74279877995399,12.8737597,79.7455999,NH48,highway,1232144868,304.09,2
52,13.08403870664696,80.25656404188429,13.0842934,80.2546176,Gangadeeshwar Koil Street,arterial,23499289,212.71,5
53,13.16370026053086,80.25165569255599,13.1655283,80.2531742,Kamarajar Salai,arterial,31020449,261.44,6
54,12.914007571125028,80.0899138796118,12.9197511,80.0872767,Tambaram - Mudichur - Sriperumbudur Road,arterial,721905363,699.69,4
55,13.100095248503738,80.14991092515007,13.1002944,80.1490373,Thiruverkadu - Ambattur Road,arterial,385244157,97.17,6
56,13.086630684382362,80.20494488493061,13.0851963,80.2057971,"2nd Avenue, Anna Nagar West",arterial,549373929,184.28,14
57,12.821324524271605,79.69736931900849,12.821174,79.6976245,Kancheepuram - Vandavasi Road,arterial,102270131,32.34,21
58,12.886680610934574,80.02167035910615,12.8865422,80.0216459,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,729835688,15.62,3
59,12.977433807971728,80.18624617411646,12.9750823,80.1923618,Mount - Medavakkam Road,arterial,179253495,712.38,11
60,13.020598131553774,80.13019779030282,13.0176456,80.1330463,Chennai Bypass Expressway,highway,31242169,450.58,4
61,13.029441519768316,80.23370273973224,13.0279325,80.2328321,4th Main Road,arterial,22936525,192.49,10
63,13.117283093362294,80.06818153455113,13.1198639,80.0688556,Chennai - Tiruttani - Renigunta Road,highway,1096943310,296.11,5
64,13.10892736929398,79.91170042420842,13.1094421,79.9102458,Unnamed primary Road,arterial,1055289840,167.61,5
65,13.052337378266664,80.06787110169132,13.0510215,80.0654436,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,30128683,300.92,3
