cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.026041607311338,80.22460300317884,13.0284946,80.2242872,Unnamed secondary Road,arterial,214356690,274.9,8
1,12.836441667341964,79.7047641174636,12.8368657,79.7051252,Nellukara Street,arterial,1153252423,61.28,18
2,13.04368118325806,80.12562169826873,13.0423042,80.1248692,Mount - Poonamallee - Avadi Road,arterial,31962666,173.46,6
3,13.117049586477592,80.20892654711626,13.1168677,80.2110985,Kolathur Main Road,arterial,26518748,236.08,18
4,13.142090149636568,79.90545678000092,13.1408783,79.9047533,NH716,highway,1054965407,154.79,4
5,12.920448944498853,80.08758635196918,12.9199608,80.0876185,Tambaram - Mudichur - Sriperumbudur Road,arterial,313544483,54.39,15
6,12.98371815292874,80.18666617130654,12.9792921,80.1942744,Mount - Medavakkam Road,arterial,179253495,960.11,11
7,13.12538197637264,80.11892224851728,13.1256953,80.1186865,Chennai - Tiruttani - Renigunta Road,highway,817536016,43.19,7
9,13.152359418537044,80.29925716034919,13.1525423,80.3001089,Chennai - Ennore Road,arterial,1104548949,94.44,10
10,13.091574933562407,79.66124953132847,13.0914577,79.6599082,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,84658041,145.86,7
11,13.086911018409747,80.18767622710135,13.0868544,80.1880842,Bazaar Road,arterial,25377899,44.63,3
12,12.922913015167891,80.12922940461229,12.9228912,80.1294777,Velachery Mudhanmai Salai,arterial,760457096,27.02,17
13,13.09436843936021,80.26216227763008,13.0967145,80.2622724,Strahans Road,arterial,754823335,261.14,7
14,13.145794245053196,80.05826140955051,13.1441272,80.059733,Unnamed secondary Road,arterial,837071681,244.44,2
15,13.029905707078228,80.02886385495368,13.0281547,80.0295386,NH48,highway,102548405,207.97,2
18,13.129083001797229,80.15765943615689,13.1298029,80.1573927,Vanagaram - Ambathur - Puzhal Road,arterial,1318548032,85.1,20
19,12.979017018113392,80.12788763662155,12.9795096,80.1290373,Poonamallee - Kundrathur - Pallavaram Road,arterial,1303006611,136.08,15
20,13.034037429066151,80.16026394580099,13.0339663,80.1603763,Mount - Poonamallee - Avadi Road,arterial,1190789209,14.52,32
21,13.05955519173908,80.22427474105645,13.0538038,80.2257232,Nagerkoyil Sudalaimuthu Krishnan Salai,arterial,1315064086,658.49,9
22,13.178273563567954,79.61371054082166,13.1774561,79.6131391,Ma. Po. C. Road,arterial,911291509,109.95,7
23,13.203461365152863,80.17511622460185,13.2036848,80.1754488,Grand Northern Trunk Road,highway,1193479263,43.74,5
24,12.96870392285875,80.24420342304624,12.9689305,80.2454483,Dr MGR Main Road,arterial,23762120,137.23,2
25,13.05691343515502,80.27334247879506,13.0567791,80.2739347,Triplicane High Road,arterial,23019250,65.87,20
27,12.794147903519372,79.81861459281082,12.7943073,79.8178758,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,831640380,82.05,6
28,13.262311404406551,80.27118668594673,13.2633731,80.2712167,Thiruvottriyur – Ponneri – Panchetty Road,arterial,1287028662,118.1,4
29,13.133288348659155,80.2556940884071,13.1314706,80.255641,SIDCO Main Road,arterial,26464838,202.21,13
30,12.694034830452642,79.97743904629095,12.6939927,79.9778855,Anna Salai High Road,arterial,96789536,48.66,9
31,13.123114704562932,80.00135434437037,13.1252787,80.0017607,Chennai Tirupati Highway,highway,1119111091,244.62,8
32,13.04249166478012,80.20338191213156,13.0429236,80.2034396,Rajamannar Salai,arterial,1365133048,48.43,20
33,13.109633233299776,79.92089948704874,13.1094847,79.9209319,Unnamed primary Road,arterial,1055289843,16.89,3
34,13.112542074131063,80.29263463847877,13.1128092,80.2923433,Suryanarayana Street,arterial,839213760,43.33,10
35,13.163547819501156,80.20222670651142,13.1637113,80.202553,Grand Northern Trunk Road,highway,1294900820,39.73,9
36,13.409066659263114,80.12136658277609,13.4087761,80.1211767,NH16,highway,1287923970,38.28,2
37,13.05668781957669,80.06232073206016,13.0545611,80.0614399,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,834684190,255.0,5
38,12.949936111605076,79.93963487298963,12.9500623,79.9389508,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,831047470,75.45,8
39,13.102044232013611,80.10638199421511,13.1023704,80.1063484,4th Main Road,arterial,25469761,36.45,14
40,12.936116789871164,80.20987937315967,12.9373439,80.2048943,Velachery Mudhanmai Salai,arterial,1232329871,557.21,5
41,12.949530577920337,80.15981764640907,12.9539075,80.1615564,Pallavaram - Thoraipakkam Road,arterial,864059071,521.89,4
42,12.619594749525136,79.76030384795337,12.6189691,79.7619429,Uthiramerur - Kancheepuram Road,arterial,209677921,190.97,2
43,13.095134173686596,80.22373408047996,13.0948156,80.223687,New Avadi Road,arterial,1125570656,35.79,16
44,13.073843846950526,80.16284829656533,13.0750778,80.1612266,Chennai Bypass Expressway,highway,102454743,222.89,16
45,13.006316337208556,80.2553686129688,13.006489,80.2551868,Sardar Patel Road,arterial,23110061,27.51,4
46,12.922454312223236,79.56835220215434,12.9249194,79.5674622,Arakkonam - Ocheri Road,arterial,564913947,290.58,6
47,13.008626458651202,80.12452304779649,13.0099607,80.1229307,Kodambakkam – Sriperumbudur Road,arterial,834623263,227.54,7
48,13.049897028758828,80.09173194058248,13.050014,80.091892,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,31962667,21.67,26
49,13.09001314241151,79.57020673426109,13.0901311,79.5700945,Walajah - Sholinghur - Arakkonam Road,arterial,1220190271,17.88,2
50,12.810281480315108,80.0289897256098,12.8101756,80.0298912,Grand Southern Trunk Road,highway,47572742,98.45,5
51,13.112260313878672,80.15339709059364,13.111268,80.1517275,Chennai - Tiruttani - Renigunta Road,highway,722405205,211.82,17
52,12.781918366449371,79.67604703862416,12.7821496,79.6773743,Kancheepuram - Vandavasi Road,arterial,826468860,146.21,4
53,13.171293341425402,80.30382849836158,13.1710834,80.305016,Chennai - Ennore Road,arterial,907799581,130.67,10
54,13.119692746189587,80.07620336463506,13.1192841,80.0762591,Chennai - Tiruttani - Renigunta Road,highway,1149807909,45.84,10
55,13.071606299332275,80.12387748976452,13.0715396,80.1230343,Thiruverkadu - Ambattur Road,arterial,1347596043,91.63,11
56,12.822588345271235,79.70112110637318,12.8234421,79.7002301,Kancheepuram - Vandavasi Road,arterial,832908782,135.44,16
57,12.80198982669147,79.77288443735317,12.8037531,79.7729779,Chengalpattu - Kancheepuram Highway,highway,84658039,196.33,5
58,13.075130169018776,80.25203498132885,13.0739651,80.252516,Gengu Reddy Road,arterial,23030808,139.63,6
59,13.121713082258958,80.22344936468824,13.1217946,80.2237955,Paper Mills Road,arterial,28342112,38.56,29
60,12.966098121086558,80.1968945254167,12.9648067,80.1966685,MDR622,arterial,1112206456,145.67,23
61,13.094043020575103,80.20316412476305,13.0934797,80.1987502,Jawaharlal Nehru Road (100 Feet Road),arterial,1125364126,482.13,15
62,12.878360889727428,79.93544974346707,12.8790331,79.936679,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,24162910,152.78,4
63,12.818894866825602,79.73192068589066,12.8182934,79.7318323,Chengalpattu - Kancheepuram Highway,highway,84658039,67.56,8
64,13.172130074945224,80.09461301074478,13.1778907,80.0926407,ORR Service Road,arterial,1075657733,675.21,4
65,13.11139477786034,80.10884690376852,13.111373,80.1086951,Mount - Poonamallee - Avadi Road,arterial,755068757,16.62,18
67,13.136464360598616,80.2057620026624,13.1377265,80.2075976,Paper Mills Road,arterial,911275606,243.32,18
68,12.989684627631654,80.20336980210415,12.9935659,80.2012362,Mount - Medavakkam Road,arterial,361730132,489.59,22
69,13.12297320308976,80.02854017757161,13.1244279,80.0284862,Chennai - Tiruttani - Renigunta Road,highway,555262938,161.86,9
70,12.95375518390602,80.14118346862448,12.953592,80.1417073,Grand Southern Trunk Road,arterial,1237149196,59.59,14
71,13.107179582890584,80.1833454888967,13.1081301,80.1834405,East avenue Road,arterial,1363505643,106.19,19
72,13.083855577608215,79.90772669887755,13.0835758,79.9082837,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,67.88,9
73,13.3451646,80.2878794,13.3431646,80.2840393,Minjur – Kattur – Thirupalaivanam Road,arterial,25850523,471.25,2
74,13.02443039405968,80.18066149744598,13.022971,80.1800779,Mount - Poonamallee - Avadi Road,arterial,102550216,174.16,8
75,13.065477242294453,79.67242302013592,13.0671404,79.6731284,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,22832401,200.1,5
76,13.069352971090762,80.18298386210283,13.0703196,80.1825209,EVR Periyar Salai,arterial,59294074,118.61,14
77,12.99837471911596,80.09556215722374,12.9975061,80.0953519,Kodambakkam – Sriperumbudur Road,arterial,25453303,99.24,8
78,13.026912443757311,80.26198392303814,13.0267905,80.2620244,Venkatakrishna Road,arterial,31959761,14.25,9
79,13.333087556360478,79.89043809608451,13.3336689,79.8904538,Korathalaiyar Bridge - Puthur Road,highway,549616113,64.66,4
81,13.121241493368425,80.0597411467748,13.1226102,80.0604854,NH716,highway,1300224278,172.22,11
82,12.979486042016898,80.2241804273264,12.9782125,80.224769,Taramani Link Road,arterial,25689918,155.31,14
83,13.096481796271974,80.14655591586595,13.0974721,80.1463741,Thiruverkadu - Ambattur Road,arterial,385244157,111.86,8
84,12.918357512492095,80.19587761460714,12.9184843,80.1957007,Velachery Mudhanmai Salai,arterial,1177309293,23.8,8
85,13.16391934995388,80.25313662209682,13.1649828,80.2539791,Kamarajar Salai,arterial,31020449,149.34,12
86,12.897117773349706,80.0767806715968,12.8933423,80.0796434,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,155486365,522.04,4
87,13.048314076716114,80.18783569697962,13.0462581,80.1884899,Arcot Road,arterial,550612246,239.35,14
88,12.99518257686642,79.99449726743717,12.9972734,79.9897301,NH48,highway,136727938,566.42,2
89,13.038169928857416,80.13430160284145,13.0382972,80.1344583,Mount - Poonamallee - Avadi Road,arterial,268051709,22.1,59
90,13.17795040887869,80.02466363542112,13.1785526,80.0292957,Korattur – Thinnanur – Periyapalayam Road,arterial,834092625,505.95,2
91,13.301221507265469,80.16213980698039,13.3018787,80.1609157,Chennai – Pulicut Road,arterial,1284335446,151.28,3
92,13.076653799595524,80.20660943207763,13.0769768,80.2066779,EVR Periyar Salai,arterial,1287586755,36.67,9
93,12.889744165059073,80.16647799427618,12.8834184,80.1658169,Agaramthen - Kovilanchery Road,arterial,27345441,707.03,2
94,13.119286142230482,80.25916614748745,13.1199723,80.259385,MKB Nagar West Avenue,arterial,1202024799,79.89,12
95,13.064694295692474,80.14894465489779,13.0620896,80.1493047,NH48,highway,1235964076,292.24,11
96,12.988829521237236,79.6761165809449,12.989085,79.6763524,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,22832404,38.21,3
97,13.155861599054235,80.22802191912383,13.1555952,80.2269937,Madhavaram - Red Hills Road,arterial,102553782,115.21,7
98,13.056312290252272,80.24216158139924,13.056297,80.2425112,Valluvar Kottam High Road,arterial,845727129,37.91,9
99,12.97437557323593,80.13584487617771,12.9742606,80.135528,Poonamallee - Kundrathur - Pallavaram Road,arterial,371337614,36.64,25
100,13.05769510562062,80.19749100295812,13.0587914,80.1949866,Kaliamman Koil Street,arterial,838091913,297.41,16
101,13.095753759156231,80.00557884067338,13.094362,80.0066645,Korattur – Thinnanur – Periyapalayam Road,arterial,31253119,194.36,5
102,13.08602194977228,80.25048436732034,13.0858951,80.2504524,Purasawalkam High Road,arterial,26550347,14.52,22
104,12.937579021822373,80.2495358057402,12.937101,80.2524528,East Coast Road,arterial,611986879,320.56,2
105,13.11889338106722,80.24137834710643,13.1188387,80.2425845,Madhavaram High Road,arterial,26518353,130.76,8
106,13.124629852436328,80.29022691057231,13.1250972,80.2901414,Varadharaja Perumal Koil Street,arterial,26398968,52.79,15
107,13.048475051964973,80.1138321692791,13.0485416,80.1121766,Mount - Poonamallee - Avadi Road,arterial,84658033,179.49,25
108,12.924104364186633,79.88045427653216,12.9238851,79.8795237,Walajabad - Sunguvarchathiram - Keelachery Road,arterial,1270620220,103.76,3
109,13.12145380973238,80.14807611445345,13.1214679,80.1484268,Chennai - Tiruttani - Renigunta Road,highway,125180603,38.01,38
110,13.1295104394316,80.13054513233683,13.1307313,80.1307668,Chennai - Tiruttani - Renigunta Road,highway,817536016,137.86,27
111,12.9773355322763,80.05070993048493,12.9770792,80.0513148,Kodambakkam – Sriperumbudur Road,arterial,1071222015,71.47,2
113,13.022961873285066,80.14660554887185,13.0229494,80.1464969,Kodambakkam – Sriperumbudur Road,arterial,133602693,11.85,13
114,12.925119116169066,80.1060582813175,12.9257663,80.1062248,Tambaram - Mudichur - Sriperumbudur Road,arterial,1392613845,74.19,7
115,12.900944794787144,79.46041187443161,12.9006877,79.4603333,NH48,highway,1417457216,29.83,2
116,12.947594104617265,80.20035734632806,12.9485307,80.1997977,Pallavaram - Thoraipakkam Road,arterial,82881753,120.52,4
117,13.13167776844312,79.92378571787354,13.1357936,79.9261634,Chennai Tirupati Highway,highway,1040827858,525.11,8
118,12.862882001992803,80.08078065074551,12.8644399,80.0745198,Grand Southern Trunk Road,highway,98357300,700.46,2
119,13.028424182749056,80.20766478886127,13.0282098,80.2084569,Jafferkhanpet Bridge,arterial,32424222,89.06,12
120,13.119298308096123,80.09379891480283,13.119312,80.0937414,Chennai - Tiruttani - Renigunta Road,highway,1149807911,6.41,15
122,13.103055032244844,80.19996230201924,13.1032249,80.1999007,New Avadi Road,arterial,28224643,20.03,15
123,13.026730422343412,80.11036971714039,13.026658,80.1105016,Poonamallee - Kundrathur - Pallavaram Road,arterial,31962668,16.4,8
