cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
10,12.905366657151207,80.15701854997201,12.9068095,80.1426098,Camp Salai,arterial,726604161,1569.92,4
25,13.124777853545964,79.92345147007177,13.1353005,79.9274163,Chennai Tirupati Highway,highway,1040827858,1246.35,7
27,13.111133531668928,79.42293978851373,13.1649857,79.4372602,Chittoor - Tiruttani Road,arterial,84658009,6185.61,3
43,12.661892619089814,79.54063907530605,12.6808598,79.5708042,Kancheepuram - Thiruvathipuram Road,arterial,687854973,3893.26,4
66,13.342584199999996,80.22223615009766,13.3406488,80.1968868,Chennai – Pulicat Road,arterial,29310651,2751.08,3
70,12.939987705377249,80.15236359410814,12.9551707,80.1555348,Pallavaram - Thoraipakkam Road,arterial,864059071,1722.89,10
72,13.175072300000002,80.0199562,13.1755133,80.0292943,Korattur – Thinnanur – Periyapalayam Road,arterial,834092625,1012.21,3
105,13.1380541,79.6614376,13.1285283,79.6408227,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,95363875,2470.87,3
107,13.053087055366191,79.95889114060415,13.0222134,79.9579704,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,arterial,828054999,3434.44,2
112,13.109564416788425,80.12974888728976,13.0987639,80.1317789,Thiruverkadu - Ambattur Road,arterial,385244157,1220.92,9
133,12.860580096189366,80.04165709173216,12.8432623,80.0589237,Grand Southern Trunk Road,highway,1230246874,2685.52,4
261,13.079736853071742,80.14457201388424,13.0757194,80.1540347,Vanagaram - Ambathur - Puzhal Road,arterial,27880100,1118.04,5
269,12.985151127112385,80.14479709393623,12.9728211,80.1384644,Poonamallee - Kundrathur - Pallavaram Road,arterial,371337614,1533.16,3
277,13.025830986345737,80.0799272126047,13.0293079,80.0901774,ORR Service Road,arterial,1074791869,1175.81,2
321,12.939191349765052,80.14508261640525,12.9462996,80.1364372,Grand Southern Trunk Road,arterial,95641243,1225.77,16
