cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,12.998348098585524,80.10036175568128,12.998004,80.1006925,Poonamallee - Kundrathur - Pallavaram Road,arterial,31241495,52.42,3
1,12.84069027068636,79.70163115537957,12.8413593,79.7012463,Chengalpattu - Kancheepuram Highway,highway,1153252426,85.29,11
2,13.086738676402348,80.19165977448513,13.0874236,80.1918431,Thirumangalam – Mogappair Road,arterial,102547878,78.71,14
3,13.10834234991609,79.91307448739568,13.1094421,79.9102458,Unnamed primary Road,arterial,1055289840,329.84,3
4,12.928988399564972,80.12972898088113,12.9228912,80.1294777,Velachery Mudhanmai Salai,arterial,760457096,678.52,4
5,13.09395329614448,79.66002194622644,13.0937027,79.6592449,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,84658041,88.65,6
6,12.799530429294023,80.02308041314059,12.7996747,80.0230561,Grand Southern Trunk Road,highway,47572742,16.26,5
7,13.160424301693771,80.29996997007419,13.1585597,80.2993715,Ennore High Road,arterial,838429807,217.22,3
8,13.06188701578442,80.14374762913566,13.0616607,80.1439099,NH48,highway,1235964076,30.7,2
9,13.106471129211112,80.10557163880735,13.1057463,80.108412,Mount - Poonamallee - Avadi Road,arterial,755068758,317.99,3
10,13.106532204729607,80.25334698619098,13.1055544,80.2521947,Unnamed primary Road,arterial,1115128499,165.51,2
12,12.92035995731956,80.18876262726164,12.9192677,80.1875647,Velachery Mudhanmai Salai,arterial,1020558879,177.78,4
13,13.030215373884667,80.21370484254693,13.0315948,80.2137856,11th Avenue,arterial,1211074476,153.63,7
14,12.685038622961466,79.9810582472584,12.6851463,79.9834766,Chennai - Trichy - Dindugal Road (Old NH45),arterial,24161891,262.62,7
15,13.122563741856116,80.20535683278364,13.1244297,80.2039086,Jawaharlal Nehru Road (100 Feet Road),arterial,1316912345,260.09,21
16,12.969350518191424,79.95119749618743,12.9694123,79.9509582,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,23650092,26.82,4
17,13.130841199526513,80.1595527227389,13.1311902,80.1601642,Unnamed primary Road,arterial,1189082512,76.75,15
18,13.039594274926191,80.27027955808059,13.0404103,80.2680955,Thiruvika Salai,arterial,211669398,253.4,10
19,13.027625242585485,79.80311525828432,13.0293279,79.8022854,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,arterial,95385707,209.59,2
20,13.332404936591344,79.89071394343975,13.3332104,79.8911941,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,502930048,103.54,2
21,13.124674605378395,80.03456332901847,13.1249986,80.0343308,Chennai - Tiruttani - Renigunta Road,highway,555262938,43.95,3
22,13.047808714527497,80.11663235294962,13.0455076,80.1172987,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,1210791248,265.86,24
23,12.868873824788263,80.07594685093734,12.8688688,80.0760305,Grand Southern Trunk Road,highway,1214786277,9.08,6
24,13.00951495692876,80.00213950280667,13.0123464,80.000002,NH48,highway,136727938,390.84,5
25,13.260091367352612,80.2722509231133,13.2622789,80.2740284,Thiruvottriyur – Ponneri – Panchetty Road,arterial,1287028662,310.12,2
26,13.044207406277868,80.22424178332304,13.0425327,80.223419,Brindavan Street,arterial,25466477,206.45,11
