cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
16,13.106735069036104,79.4249875958654,13.1649857,79.4372602,Chittoor - Tiruttani Road,arterial,84658009,6612.1,2
67,12.94024183236674,80.14433636733364,12.9462996,80.1364372,Grand Southern Trunk Road,arterial,95641243,1089.27,16
71,13.163661811385,79.85882338419003,13.152722,79.8560041,Chennai Tirupati Highway,highway,1231867877,1254.17,2
78,13.342584199999994,80.22286557514649,13.3406488,80.1968868,Chennai – Pulicat Road,arterial,29310651,2818.97,2
120,13.1380541,79.6614376,13.1285283,79.6408227,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,95363875,2470.87,2
137,12.8559332537662,80.03867240728593,12.8395098,80.0549493,Grand Southern Trunk Road,highway,1080757453,2539.45,2
154,12.910758492281586,80.15738001508215,12.9234664,80.1583851,Velachery Mudhanmai Salai,arterial,1148733672,1417.25,5
157,12.983203050349736,80.14591962788813,12.9733653,80.1531219,Grand Southern Trunk Road Flyover,arterial,1040004966,1343.75,2
169,13.082639534390765,80.14458345097894,13.0757194,80.1540347,Vanagaram - Ambathur - Puzhal Road,arterial,27880100,1280.63,5
195,13.02323296131069,80.053136067481,13.0374586,80.049149,NH48,highway,102548402,1639.73,3
