cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.084817214415455,80.10961751376166,13.0850348,80.1087393,Mount - Poonamallee - Avadi Road,arterial,755068757,98.15,14
1,12.83388819539956,79.69386027037821,12.8339729,79.6934143,Krishnan Street,arterial,73772927,49.26,7
2,13.1260951005328,80.21301708676313,13.1240748,80.2130667,Unnamed secondary Road,arterial,25376940,224.71,3
3,12.931353794635443,80.16009412807357,12.9235001,80.1594024,Velachery Mudhanmai Salai,arterial,183386138,876.5,3
4,13.07213723253566,79.67077158204012,13.0726049,79.671687,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,22832401,111.96,7
5,13.123960437953466,79.9116134806119,13.1238591,79.9114493,Unnamed primary Road,arterial,1055265031,21.05,14
6,13.026509896707308,80.17370621836814,13.026384,80.1739235,Mount - Poonamallee - Avadi Road,arterial,761177260,27.39,7
7,12.686625673245358,79.98040806287256,12.6869647,79.9830795,Chennai - Trichy - Dindugal Road (Old NH45),arterial,24161891,292.24,2
8,13.324734885892346,80.1854898334635,13.3260737,80.1854029,Unnamed primary Road,arterial,1284335451,149.17,3
9,13.066105670157036,80.21237847752127,13.0653579,80.2110543,Jawaharlal Nehru Road (100 Feet Road),arterial,69610256,165.79,9
10,12.88608602853835,80.02251710635095,12.8867758,80.0223646,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,729835688,78.46,2
11,13.099090620386482,80.25196941671756,13.0993261,80.2513717,Cooks Road,arterial,23802573,69.83,5
12,13.333914739300807,79.89193482549305,13.3338547,79.891774,Korathalaiyar Bridge - Puthur Road,highway,549616113,18.64,7
13,13.041086309938374,80.08023243731373,13.0410083,80.079135,Nazarathpet Road,arterial,1101609649,119.2,2
14,13.165010903134698,80.30182793842886,13.1648937,80.3034577,Chennai - Ennore Road,arterial,907799581,176.94,7
15,12.954897265946164,79.94251282597855,12.9558337,79.9427994,Tambaram - Mudichur - Sriperumbudur Road,arterial,1188091935,108.66,6
17,12.907736898402074,80.09580821740613,12.9071915,80.0968686,Grand Southern Trunk Road,highway,1090199939,129.95,2
18,12.923106958647956,79.56615427769272,12.9243757,79.5655525,Arakkonam - Ocheri Road,arterial,564913947,155.42,4
19,13.0402077973174,80.1262929086748,13.0412948,80.1267571,Mount - Poonamallee - Avadi Road,arterial,268051709,130.91,9
20,13.123264509943136,80.03645039421988,13.12553,80.0360303,Chennai - Tiruttani - Renigunta Road,highway,555262938,255.99,3
21,13.034357576990136,80.24115437314747,13.0353622,80.2393229,Thanikachalam Road,arterial,1242783657,227.69,7
22,13.029769947157115,79.85607365083493,13.0311295,79.8564417,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,arterial,68607343,156.34,4
23,12.976860637756287,80.13141480261703,12.9771945,80.1315367,Poonamallee - Kundrathur - Pallavaram Road,arterial,1363528604,39.4,14
24,12.615510700000002,79.7597777,12.6152931,79.7596741,Bukkathurai - Uthiramerur Road,arterial,84658230,26.68,3
25,12.965977505534562,80.19849526389774,12.9648709,80.1985614,MDR622,arterial,1112206456,123.26,24
26,13.200326879651152,80.1755830131328,13.2014469,80.1772432,Grand Northern Trunk Road,highway,1286735945,218.66,6
