cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
3,12.938659933483976,80.14852404292775,12.9465623,80.1366393,Grand Southern Trunk Road,arterial,95641243,1559.15,19
18,12.66358328871622,79.54038432336567,12.6808598,79.5708042,Kancheepuram - Thiruvathipuram Road,arterial,687854973,3818.56,5
24,13.10895772229734,79.42440409027519,13.1649857,79.4372602,Chittoor - Tiruttani Road,arterial,84658009,6383.67,4
64,13.1380541,79.6614376,13.1285283,79.6408227,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,95363875,2470.87,3
123,13.163661811385,79.85882338419003,13.152722,79.8560041,Chennai Tirupati Highway,highway,1231867877,1254.17,2
155,13.168558683895212,80.09710404331295,13.1782001,80.0948556,ORR Service Road,arterial,1075657733,1099.37,4
169,13.342584199999996,80.22223615009766,13.3406488,80.1968868,Chennai – Pulicat Road,arterial,29310651,2751.08,3
181,12.908008154533164,80.1564761210232,12.9098616,80.1430075,Camp Salai,arterial,726604161,1474.27,9
216,13.107581309533478,80.12994764153892,13.0987639,80.1317789,Thiruverkadu - Ambattur Road,arterial,385244157,1000.31,9
258,12.977113196334926,80.18313451891389,12.973816,80.1918836,Mount - Medavakkam Road,arterial,179253495,1016.44,12
268,12.983617160704446,80.14336300024691,12.9728369,80.1384319,Poonamallee - Kundrathur - Pallavaram Road,arterial,371337614,1312.4,4
272,13.025830986345737,80.0799272126047,13.0293079,80.0901774,ORR Service Road,arterial,1074791869,1175.81,2
294,13.119268087878272,80.13297666670054,13.1259526,80.1413119,Chennai - Tiruttani - Renigunta Road,highway,1133120918,1169.28,6
308,13.092517695135296,80.07274458996582,13.08394,80.0624606,ORR Service Road,arterial,1075752806,1466.4,2
