cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,12.907060593943358,79.3250865211477,12.9006528,79.4597554,NH48,highway,1417457216,14613.71,11
1,14.6506981,121.0039373,13.3619801,80.3386875,East Coast Road,arterial,1065775952,4383903.8,11
2,22.478627326547883,70.06680424679396,13.4295192,79.5613086,Korathalaiyar bridge - Puthur Road,highway,84658047,1420621.99,11
3,17.446355500000003,78.57643800000001,13.6029916,79.9589598,Tada - Satyavedu Road,arterial,32870424,452292.25,11
4,10.949081,76.13754270000001,12.7746284,79.4729242,Abdullapuram - Moranam Road,arterial,159133869,415848.25,11
5,20.591434296444245,78.96193586242678,13.6029916,79.9589598,Tada - Satyavedu Road,arterial,32870424,784259.49,11
6,9.9424686,78.07013340000002,12.5637822,79.6188527,Kancheepuram - Vandavasi Road,arterial,22832406,336867.82,11
7,11.103460999999998,79.78605170000002,12.4563933,79.9828587,GST Road - Padalam - Cheyyur Road,arterial,909496696,151956.83,11
8,12.50720260457244,79.60565301690826,12.5637822,79.6188527,Kancheepuram - Vandavasi Road,arterial,22832406,6452.44,11
9,12.941698400000002,79.17117729999998,12.9515449,79.4620315,Sholinghur - Kaveripakkam Road,arterial,825413599,31538.37,11
10,11.258870599999998,75.78563429999998,12.7746284,79.4729242,Abdullapuram - Moranam Road,arterial,159133869,434987.27,11
11,12.6715646,79.28739529999999,12.7746284,79.4729242,Abdullapuram - Moranam Road,arterial,159133869,23157.8,11
12,12.933610199883168,79.36270318762836,12.9515449,79.4620315,Sholinghur - Kaveripakkam Road,arterial,825413599,10947.39,11
13,13.178152399999998,79.41296469999999,13.1649857,79.4372602,Chittoor - Tiruttani Road,arterial,84658009,3010.46,11
14,12.94166584630546,79.2370547392859,12.9515449,79.4620315,Sholinghur - Kaveripakkam Road,arterial,825413599,24405.08,11
15,9.826919699999996,77.99039370000001,12.5637822,79.6188527,Kancheepuram - Vandavasi Road,arterial,22832406,352363.04,11
16,12.80236213822414,79.35390183747582,12.7746284,79.4729242,Abdullapuram - Moranam Road,arterial,159133869,13269.69,11
17,12.93242471755347,79.33441323207765,12.9515449,79.4620315,Sholinghur - Kaveripakkam Road,arterial,825413599,13992.49,11
18,12.9319995,79.13755210000001,12.9006528,79.4597554,NH48,highway,1417457216,35094.37,22
19,12.922921400000002,79.37689239999999,12.9006528,79.4597554,NH48,highway,1417457216,9316.07,11
20,12.853438799999996,79.3690831,12.9005373,79.4597633,NH48,highway,568910564,11137.7,11
21,12.82898034146885,79.30689104504279,12.9005373,79.4597633,NH48,highway,568910564,18383.11,11
22,12.985091399999998,79.26558479999998,12.9592148,79.4620355,Sholinghur - Kaveripakkam Road,arterial,825413599,21480.42,11
23,12.88843999094692,79.1411241719859,12.9006528,79.4597554,NH48,highway,1417457216,34563.4,11
24,12.69818412601441,79.2971759665136,12.7746284,79.4729242,Abdullapuram - Moranam Road,arterial,159133869,20870.87,11
