stop_id,stop_name,latitude,longitude,num_students,is_depot,is_school
D1,Mudichur,12.9087824349875,80.0687318469876,0,True,False
D2,Urapakkam (Vandalur),12.862808789785,80.0735509827197,0,True,False
D3,KPM (White gate),12.84784,79.705164,0,True,False
D4,Cheyyar,12.665127,79.540271,0,True,False
D5,Arakkonam,13.085169,79.665196,0,True,False
D6,Andarkuppam,13.3018159935211,80.1605308905006,0,True,False
D7,Ayapakkam (Giri Parking),13.0983519675888,80.1375425674804,0,True,False
D8,Kovilambakkam,12.945952533589,80.183073,0,True,False
D9,Vyasarpadi,13.1183954531132,80.2590355221496,0,True,False
D10,Red Hills,13.186653,80.197489,0,True,False
D11,Velachery,12.981663,80.218068,0,True,False
D12,Avadi (Kavarapalayam),13.1190381599159,80.084833580844,0,True,False
D13,Veppamapattu,13.124703,80.005885,0,True,False
D14,Ennore,13.210716,80.316931,0,True,False
D15,VGP (Golden Beach),12.913878,80.250407,0,True,False
D16,Chengalpet,12.678989,79.99472,0,True,False
D17,Minjur,13.290183,80.2006356,0,True,False
D18,Dusi (Sekar),12.775559,79.678338,0,True,False
D19,Lucas,13.1023727191351,80.1865509033309,0,True,False
D20,Sathya Garden,13.045805,80.198909,0,True,False
D21,Veerapuram,12.755278,80.009527,0,True,False
D22,Thiruvallur (Manavalan nagar),13.110843,79.910306,0,True,False
D23,Kallikuppam,13.131989,80.166861,0,True,False
D24,Thiruvallur (Venakatesan G),13.120736,79.910514,0,True,False
S1,Pickup Stop 1,13.1081301,80.1834405,25,False,False
S2,Pickup Stop 2,12.8386313,79.7017388,23,False,False
S3,Pickup Stop 3,12.9182365,80.0763806,3,False,False
S4,Pickup Stop 4,13.1066306,79.909061,13,False,False
S5,Pickup Stop 5,13.0366911,80.1577632,15,False,False
S6,Pickup Stop 6,13.0952783,79.6587218,16,False,False
S7,Pickup Stop 7,13.1365522,80.2565655,5,False,False
S8,Pickup Stop 8,12.6810883,79.9815472,7,False,False
S9,Pickup Stop 9,13.0280355,80.2261679,18,False,False
S10,Pickup Stop 10,13.0160537,80.005472,4,False,False
S11,Pickup Stop 11,12.9542247,80.1420342,6,False,False
S12,Pickup Stop 12,13.1441272,80.059733,2,False,False
S13,Pickup Stop 13,13.080051,80.1099993,8,False,False
S14,Pickup Stop 14,12.6808598,79.5708042,5,False,False
S15,Pickup Stop 15,13.0846071,80.2447311,13,False,False
S16,Pickup Stop 16,13.1185829,80.1574137,17,False,False
S17,Pickup Stop 17,12.9251652,79.5680523,7,False,False
S18,Pickup Stop 18,13.3197245,80.1825128,3,False,False
S19,Pickup Stop 19,13.3336689,79.8904538,5,False,False
S20,Pickup Stop 20,13.0312146,79.8561927,5,False,False
S21,Pickup Stop 21,12.8408253,80.0562959,2,False,False
S22,Pickup Stop 22,13.1649857,79.4372602,4,False,False
S23,Pickup Stop 23,12.9774891,80.2050769,6,False,False
S24,Pickup Stop 24,13.0668577,80.2098652,12,False,False
S25,Pickup Stop 25,12.952297,79.9398674,11,False,False
S26,Pickup Stop 26,13.2787896,80.2601839,4,False,False
S27,Pickup Stop 27,12.7188324,79.754445,2,False,False
S28,Pickup Stop 28,13.1244297,80.2039086,20,False,False
S29,Pickup Stop 29,13.0541191,80.0626209,7,False,False
S30,Pickup Stop 30,13.1841827,80.3087816,4,False,False
S31,Pickup Stop 31,13.0832055,80.1720488,23,False,False
S32,Pickup Stop 32,13.0410842,80.12757,11,False,False
S33,Pickup Stop 33,13.1356361,80.1030221,3,False,False
S34,Pickup Stop 34,13.1158031,80.2832731,16,False,False
S35,Pickup Stop 35,13.0324043,80.267503,4,False,False
S36,Pickup Stop 36,13.1802421,79.6057495,2,False,False
S37,Pickup Stop 37,12.9177991,80.1459621,2,False,False
S38,Pickup Stop 38,13.1367858,79.9227684,5,False,False
S39,Pickup Stop 39,12.9796351,80.1289858,14,False,False
