Bus_ID,Sequence,Stop_Name,Latitude,Longitude,Students
BUS_01,1,Jawaharlal Nehru Road (100 Feet Road),13.1244297,80.2039086,27
BUS_01,2,East avenue Road,13.1081301,80.1834405,25
BUS_02,1,Jawaharlal Nehru Road (100 Feet Road),13.117585,80.1980171,13
BUS_02,2,Konnur High Road,13.1038188,80.2043294,19
BUS_03,1,Kancheepuram - Vandavasi Road,12.8196396,79.6954967,30
BUS_03,2,NH132B,12.8386313,79.7017388,23
BUS_04,1,Chengalpattu - Kancheepuram Highway,12.8263762,79.7082716,17
BUS_04,2,Chengalpattu - Kancheepuram Highway,12.8467476,79.6954089,16
BUS_05,1,ORR Service Road,12.9182365,80.0763806,3
BUS_05,2,Grand Southern Trunk Road,12.907067,80.0969048,4
BUS_05,3,Tambaram - Mudichur - Sriperumbudur Road,12.9256076,80.1015803,7
BUS_05,4,Tambaram - Mudichur - Sriperumbudur Road,12.9208643,80.0897264,20
BUS_05,5,Tambaram - Mudichur - Sriperumbudur Road,12.9161916,80.064586,3
BUS_06,1,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,13.0835758,79.9082837,6
BUS_06,2,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,13.1066306,79.909061,13
BUS_07,1,Mount - Poonamallee - Avadi Road,13.0323644,80.1634373,18
BUS_07,2,Kodambakkam – Sriperumbudur Road,13.0190631,80.1425374,11
BUS_07,3,Kodambakkam – Sriperumbudur Road,13.0282551,80.151315,8
BUS_07,4,Arcot Road,13.0366911,80.1577632,15
BUS_08,1,Chennai Bypass Expressway,13.0399718,80.1494906,6
BUS_09,1,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,13.0726049,79.671687,11
BUS_09,2,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,13.0952783,79.6587218,16
BUS_10,1,Unnamed secondary Road,13.1464727,80.2401984,9
BUS_10,2,Kamarajar Salai,13.1651013,80.2538059,8
BUS_10,3,Tondiarpet High Road,13.1365522,80.2565655,5
BUS_10,4,Tondiarpet High Road,13.1308106,80.2513305,11
BUS_10,5,Moolakadai Flyover,13.1294933,80.2407261,11
BUS_10,6,MKB Nagar West Avenue,13.1214127,80.2593309,9
BUS_11,1,Anna Salai High Road,12.6923202,79.977506,8
BUS_11,2,Chennai - Trichy - Dindugal Road (Old NH45),12.6810883,79.9815472,7
BUS_12,1,70 Feet Road,13.0280355,80.2261679,18
BUS_12,2,11th Avenue,13.0324539,80.2184352,17
BUS_12,3,Arya Gowda Road,13.0429082,80.2220416,17
BUS_13,1,Inner Ring Road,13.0254279,80.2069983,6
BUS_13,2,Venkatanarayana Road,13.0332055,80.2383291,7
BUS_14,1,NH48,13.0093775,79.997444,8
BUS_14,2,NH48,13.0160537,80.005472,4
BUS_14,3,NH48,13.0242352,80.0232451,2
BUS_15,1,Poonamallee - Kundrathur - Pallavaram Road,12.9796351,80.1289858,18
BUS_15,2,Poonamallee - Kundrathur - Pallavaram Road,12.9743556,80.1354368,21
BUS_15,3,Indira Gandhi Road,12.9686602,80.148252,12
BUS_16,1,Tiruneermalai Main Road,12.9577196,80.127177,8
BUS_16,2,Grand Southern Trunk Road,12.9542247,80.1420342,6
BUS_16,3,Pallavaram - Thoraipakkam Road,12.9539225,80.1618265,2
BUS_17,1,Unnamed secondary Road,13.1441272,80.059733,2
BUS_17,2,ORR Service Road,13.1589007,80.0617797,5
BUS_18,1,ORR Service Road,13.1955735,80.15511,4
BUS_18,2,Grand Northern Trunk Road,13.2029901,80.1759665,6
BUS_18,3,Grand Northern Trunk Road,13.1908713,80.190073,6
BUS_19,1,Mount - Poonamallee - Avadi Road,13.0908856,80.1084504,18
BUS_19,2,Mount - Poonamallee - Avadi Road,13.080051,80.1099993,13
BUS_19,3,Thiruverkadu - Ambattur Road,13.0715396,80.1230343,11
BUS_19,4,Thiruverkadu - Ambattur Road,13.0903791,80.1238186,4
BUS_20,1,Gengu Reddy Road,13.0731972,80.2524824,6
BUS_20,2,McNichols Road,13.0714633,80.2416141,5
BUS_20,3,Purasawalkam High Road,13.0846071,80.2447311,17
BUS_21,1,Chennai Bypass,13.1323215,80.1714386,19
BUS_21,2,Unnamed primary Road,13.1302579,80.1579369,20
BUS_22,1,Kalli Kuppam Road (KKRoad),13.1185829,80.1574137,18
BUS_23,1,Velachery Mudhanmai Salai,12.9169387,80.1939435,13
BUS_23,2,Velachery Mudhanmai Salai,12.9416721,80.206254,3
BUS_23,3,Mount - Medavakkam Road,12.955952,80.1868305,9
BUS_23,4,Mount - Medavakkam Road,12.9406188,80.1827273,6
BUS_24,1,Arakkonam - Ocheri Road,12.9251652,79.5680523,9
BUS_25,1,Puduvoyal – Pulicat Road,13.3400979,80.1875609,2
BUS_25,2,Unnamed primary Road,13.3197245,80.1825128,3
BUS_26,1,Korathalaiyar Bridge - Puthur Road,13.3336689,79.8904538,5
BUS_27,1,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,13.0312146,79.8561927,5
BUS_28,1,Mount - Medavakkam Road,12.990266,80.1983434,20
BUS_28,2,MDR622,12.9648611,80.1988128,19
BUS_29,1,Grand Southern Trunk Road,12.9910147,80.180964,14
BUS_29,2,Mount - Medavakkam Road,12.9722223,80.1912881,16
BUS_29,3,Velachery Main Road,12.9797452,80.2211016,17
BUS_30,1,Inner Ring Road (Southern Sector),12.9774891,80.2050769,9
BUS_31,1,Nelson Manickam Road,13.0678104,80.2269115,22
BUS_31,2,Jawaharlal Nehru Road (100 Feet Road),13.0668577,80.2098652,16
BUS_31,3,Jawaharlal Nehru Road (100 Feet Road),13.0591456,80.2116665,17
BUS_32,1,Tank Bund Road,13.0573302,80.2417428,11
BUS_32,2,Kodambakkam Railway Flyover,13.05411,80.229353,7
BUS_33,1,Chennai - Chittoor - Bangalore Road (Old NH4),12.9685375,79.9508648,4
BUS_33,2,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,12.952297,79.9398674,11
BUS_34,1,Thiruvottriyur – Ponneri – Panchetty Road,13.2622789,80.2740284,5
