cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students,user_ids
1,12.805026536336756,79.71003313832418,12.8046669,79.7093138,Uthiramerur - Kancheepuram Road,arterial,835633808,87.65,6,"6600,4662,6592,5812,6854,6253"
2,13.114413439999998,80.15545184,13.1188586,80.1558935,North Park Street,arterial,25392315,496.59,5,"8068,7735,5893,3464,7471"
3,13.066433634417416,79.67202544858301,13.0671404,79.6731284,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,22832401,143.0,4,"7819,6379,7308,2858"
4,12.989552280866848,79.67641991865611,12.9895108,79.6765006,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,22832404,9.88,2,"5357,299"
5,13.085259510701263,80.24795505263826,13.0857989,80.2479452,Purasawalkam High Road,arterial,237621835,59.99,13,"2319,1199,7959,853,4603,2378,2497,4604,7921,6852,4320,257,7792"
6,13.103361141545252,80.20423150656602,13.1032572,80.2040121,New Avadi Road,arterial,155831556,26.42,17,"2355,6867,3999,467,7863,1041,4467,7597,3473,4558,3765,6511,4088,1847,3557,3538,192"
7,13.129723052634256,80.15801458739413,13.1301287,80.1578647,Vanagaram - Ambathur - Puzhal Road,arterial,1318548032,47.94,24,"7741,486,199,2228,3396,448,6350,5599,5912,2707,2051,3011,5740,6135,4940,1241,6672,4468,5554,7995,6225,3126,3355,3105"
8,13.02954378495344,80.21722646793172,13.0314127,80.2169694,11th Avenue,arterial,23698639,209.67,13,"7739,1420,2506,5319,4246,437,3483,3543,3199,3079,7524,2546,5548"
9,13.117343708075168,80.28336956729238,13.1167159,80.283897,Thiruvottriyur High Road,arterial,1232326683,90.2,3,"8101,2593,332"
10,13.067190791344425,80.22859747390729,13.0668373,80.228582,Nelson Manickam Road,arterial,835030602,39.34,9,"2548,7387,1049,4753,7965,7908,4324,5157,3614"
11,12.973533023916188,80.21366842257484,12.971599,80.2123049,Inner Ring Road (Southern Sector),arterial,939228067,260.92,1,1839
12,13.060749309301595,80.16309797437077,13.0612517,80.1629775,EVR Periyar Salai,arterial,69610259,57.37,7,"198,1492,5093,4202,5962,3516,5775"
13,13.088121140414549,80.26036768609296,13.0876039,80.2606991,Purasaiwalkam Flyover,arterial,30247201,67.8,8,"1845,3371,6710,312,6682,2631,4937,3911"
14,13.13217075463802,80.17040397366685,13.1321546,80.1703468,Unnamed primary Road,arterial,1118335021,6.45,12,"3586,3072,3628,6344,8013,3017,8000,4617,5836,6765,7369,614"
15,13.119385914795906,80.08464239770024,13.1189004,80.0845218,Chennai - Tiruttani - Renigunta Road,highway,1149807909,55.54,8,"4229,4253,1450,7077,2222,7106,5605,5293"
16,13.01992968324816,80.18483706800238,13.0203922,80.1850556,Mount - Poonamallee - Avadi Road,arterial,32427422,56.62,3,"2371,4045,3536"
17,13.113456447602438,80.22545713363317,13.1134028,80.2272231,Unnamed secondary Road,arterial,1053303514,191.34,16,"5578,1937,4516,5313,253,2838,4154,1197,6523,3346,5173,3157,1093,5790,5040,3440"
18,13.079314214305922,80.22671544133593,13.0830264,80.2273357,Kilpauk Garden Road,arterial,23306358,418.21,7,"1805,5679,736,169,7152,6501,5282"
19,13.043561606581148,80.18374710154629,13.0437243,80.1836531,Arcot Road,arterial,550612245,20.76,16,"7595,7443,384,789,861,5701,5728,2763,733,743,1605,474,5552,4099,316,338"
20,13.074705775226672,80.17387543054002,13.0742028,80.1811533,Thiruvalluvar Saalai,arterial,838218813,790.27,1,2794
21,13.11653445275311,80.19834711001434,13.1165132,80.1978054,Jawaharlal Nehru Road (100 Feet Road),arterial,95668348,58.71,4,"7202,3565,4122,2542"
22,13.12066985745704,80.2063072691357,13.1244297,80.2039086,Jawaharlal Nehru Road (100 Feet Road),arterial,1316912345,492.2,27,"3257,3967,7951,3949,3866,2674,842,1239,717,7534,724,4043,323,6039,6100,4463,7404,6248,5196,3632,1182,7559,2326,7295,3561,5301,3830"
23,12.916312877547904,80.18878625742441,12.9175345,80.1893287,Velachery Mudhanmai Salai,arterial,133593218,148.01,3,"4344,6980,3936"
24,13.076450752692288,80.20780364482567,13.0770239,80.2076411,EVR Periyar Salai,arterial,1287586755,66.12,9,"2711,4008,651,4708,7869,3224,4559,3772,1546"
25,12.905471882711767,80.09420209937271,12.9049341,80.0950856,Perungalathur Maempalam,highway,1185985036,112.9,7,"2340,6872,539,4979,6986,3633,956"
26,13.107518341425097,79.9108696094899,13.1079908,79.9096133,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,145.85,6,"7135,5523,6729,4831,6408,2360"
27,13.07995290465909,80.18054202858845,13.0799554,80.180388,Thiruvalluvar Saalai,arterial,102484441,16.69,33,"1954,5688,1186,3212,4208,6544,4275,4863,1379,5699,3828,6096,5829,1207,2353,4110,6746,7763,3098,378,137,2874,5953,4166,3024,5330,88,176,944,7957,5588,723,7233"
