MTC Bus Route Options
==================================================

1. Value: '1' | Text: '--Route--'
2. Value: '101' | Text: '101'
3. Value: '102' | Text: '102'
4. Value: '102A' | Text: '102A'
5. Value: '102C' | Text: '102C'
6. Value: '102CT' | Text: '102CT'
7. Value: '102K' | Text: '102K'
8. Value: '102K#' | Text: '102K#'
9. Value: '102M' | Text: '102M'
10. Value: '102P' | Text: '102P'
11. Value: '102S' | Text: '102S'
12. Value: '102X' | Text: '102X'
13. Value: '104' | Text: '104'
14. Value: '104A' | Text: '104A'
15. Value: '104C' | Text: '104C'
16. Value: '104CX' | Text: '104CX'
17. Value: '104F' | Text: '104F'
18. Value: '104G' | Text: '104G'
19. Value: '104K' | Text: '104K'
20. Value: '104M' | Text: '104M'
21. Value: '104P' | Text: '104P'
22. Value: '104T' | Text: '104T'
23. Value: '105' | Text: '105'
24. Value: '105A' | Text: '105A'
25. Value: '109' | Text: '109'
26. Value: '109A' | Text: '109A'
27. Value: '109C' | Text: '109C'
28. Value: '109CT' | Text: '109CT'
29. Value: '109T' | Text: '109T'
30. Value: '109X' | Text: '109X'
31. Value: '10A' | Text: '10A'
32. Value: '10E' | Text: '10E'
33. Value: '11' | Text: '11'
34. Value: '111' | Text: '111'
35. Value: '111ET' | Text: '111ET'
36. Value: '113' | Text: '113'
37. Value: '113A' | Text: '113A'
38. Value: '114' | Text: '114'
39. Value: '114A' | Text: '114A'
40. Value: '114C' | Text: '114C'
41. Value: '114CCT' | Text: '114CCT'
42. Value: '114D' | Text: '114D'
43. Value: '114E' | Text: '114E'
44. Value: '114ET' | Text: '114ET'
45. Value: '114G' | Text: '114G'
46. Value: '114P' | Text: '114P'
47. Value: '114S' | Text: '114S'
48. Value: '118' | Text: '118'
49. Value: '118ET' | Text: '118ET'
50. Value: '118G' | Text: '118G'
51. Value: '118N' | Text: '118N'
52. Value: '118P' | Text: '118P'
53. Value: '118T' | Text: '118T'
54. Value: '119' | Text: '119'
55. Value: '119G' | Text: '119G'
56. Value: '11G' | Text: '11G'
57. Value: '11M' | Text: '11M'
58. Value: '120' | Text: '120'
59. Value: '120A' | Text: '120A'
60. Value: '120CT' | Text: '120CT'
61. Value: '120E' | Text: '120E'
62. Value: '120F' | Text: '120F'
63. Value: '120G' | Text: '120G'
64. Value: '120K' | Text: '120K'
65. Value: '120KET' | Text: '120KET'
66. Value: '121' | Text: '121'
67. Value: '121A' | Text: '121A'
68. Value: '121C' | Text: '121C'
69. Value: '121CT' | Text: '121CT'
70. Value: '121D' | Text: '121D'
71. Value: '121G' | Text: '121G'
72. Value: '121M' | Text: '121M'
73. Value: '121MET' | Text: '121MET'
74. Value: '129C' | Text: '129C'
75. Value: '12B' | Text: '12B'
76. Value: '12G' | Text: '12G'
77. Value: '12M' | Text: '12M'
78. Value: '12X' | Text: '12X'
79. Value: '13' | Text: '13'
80. Value: '142' | Text: '142'
81. Value: '142B' | Text: '142B'
82. Value: '142P' | Text: '142P'
83. Value: '147A' | Text: '147A'
84. Value: '147B' | Text: '147B'
85. Value: '147C' | Text: '147C'
86. Value: '147CCT' | Text: '147CCT'
87. Value: '147V' | Text: '147V'
88. Value: '15' | Text: '15'
89. Value: '150' | Text: '150'
90. Value: '153' | Text: '153'
91. Value: '153A' | Text: '153A'
92. Value: '153P' | Text: '153P'
93. Value: '153T' | Text: '153T'
94. Value: '154' | Text: '154'
95. Value: '154B' | Text: '154B'
96. Value: '154E' | Text: '154E'
97. Value: '154P' | Text: '154P'
98. Value: '155A' | Text: '155A'
99. Value: '157' | Text: '157'
100. Value: '157E' | Text: '157E'
101. Value: '159' | Text: '159'
102. Value: '159E' | Text: '159E'
103. Value: '159K' | Text: '159K'
104. Value: '15BET' | Text: '15BET'
105. Value: '15C' | Text: '15C'
106. Value: '15F' | Text: '15F'
107. Value: '15G' | Text: '15G'
108. Value: '164' | Text: '164'
109. Value: '164E' | Text: '164E'
110. Value: '166' | Text: '166'
111. Value: '166K' | Text: '166K'
112. Value: '16J' | Text: '16J'
113. Value: '16K' | Text: '16K'
114. Value: '170A' | Text: '170A'
115. Value: '170C' | Text: '170C'
116. Value: '170CE' | Text: '170CE'
117. Value: '170K' | Text: '170K'
118. Value: '170T' | Text: '170T'
119. Value: '170TX' | Text: '170TX'
120. Value: '17D' | Text: '17D'
121. Value: '17E' | Text: '17E'
122. Value: '17K' | Text: '17K'
123. Value: '188A' | Text: '188A'
124. Value: '188C' | Text: '188C'
125. Value: '188ET' | Text: '188ET'
126. Value: '188K' | Text: '188K'
127. Value: '18A' | Text: '18A'
128. Value: '18ACT' | Text: '18ACT'
129. Value: '18B' | Text: '18B'
130. Value: '18D' | Text: '18D'
131. Value: '18E' | Text: '18E'
132. Value: '18H' | Text: '18H'
