latitude,longitude,cluster_id,student_count,stop_name
,,1,50,THIRUVOTRIYUR
,,2,50,THRUVOTRIYUR TEMPLE
,,3,50,THANGAL
,,4,50,ANNA NAGAR
,,5,50,ROYAPURAM P.S
,,6,50,CLIVE BATTERY
,,7,50,PARRYS
,,8,50,M.G.R.CENTRAL
,,9,50,DASAPRAKASH
,,10,50,TAYLORS ROAD
,,11,50,AMINJIKARAI
,,12,50,NADUVANKARAI
,,13,50,ARUMBAKKAM
,,14,50,NERKUNDRAM
,,15,50,MADURAVOYAL
,,16,50,VAANAGARAM
,,17,50,VELAPPANCHAVADI
,,18,50,KUMUNANCHAVADI
,,19,50,POONAMALLEE
,,20,50,BROADWAY
,,21,50,SECRETARIAT
,,22,50,CHEPAUK
,,23,50,Q.M.C
,,24,50,FORESHORE ESTATE
,,25,50,A.M.S.HOSPITAL
,,26,50,ADYAR O.T.
,,27,50,INDIRA NAGAR WATER TANK
,,28,50,SRP TOOLS
,,29,50,KANDANCHAVADI
,,30,50,THORAPPAKKAM TEA SHOP
,,31,50,MOOTAKARAN CHAVADI
,,32,50,KARAPAKKAM
,,33,50,SHOZHANGANALLUR P.U.OFFICE
,,34,50,KUMARAN NAGAR
,,35,50,SEMMANCHERI
,,36,50,NAVALUR
,,37,50,CHURCH
,,38,50,PALAVASTHIC CHEMICALS
,,39,50,HINDUSTAN ENG. COLLEGE
,,40,50,KELAMBAKKAM
,,41,50,THIRUVANMIYUR
,,42,50,SRP TOOLS
,,43,50,KANDANCHAVADI
,,44,50,THORAPPAKKAM TEA SHOP
,,45,50,MOOTAKARAN CHAVADI
,,46,50,KARAPAKKAM
,,47,50,SHOZHANGANALLUR P.U.OFFICE
,,48,50,KUMARAN NAGAR
,,49,50,SEMMANCHERI
,,50,50,NAVALUR
,,51,50,SIPCOT
,,52,50,SIRUSERI I.T.PARK
,,53,50,PUDUPAKKAM P.U.O.
,,54,50,PUDUPAKKAM/VANDALOOR RD.J
,,55,50,BROADWAY
,,56,50,SECRETARIAT
,,57,50,CHEPAUK
,,58,50,Q.M.C
,,59,50,FORESHORE ESTATE
,,60,50,A.M.S.HOSPITAL
,,61,50,ADYAR O.T.
,,62,50,ADYAR DEPOT
,,63,50,SRP TOOLS
,,64,50,KANDANCHAVADI
,,65,50,THORAPPAKKAM TEA SHOP
,,66,50,MOOTAKARAN CHAVADI
,,67,50,KARAPAKKAM
,,68,50,SHOZHANGANALLUR P.U.OFFICE
,,69,50,KUMARAN NAGAR
,,70,50,NUCLEUS COMPANY
,,71,50,SEMMANCHERI S.C.B.
,,72,50,THIRUVANMIYUR
,,73,50,SRP TOOLS
,,74,50,KANDANCHAVADI
,,75,50,THORAPPAKKAM TEA SHOP
,,76,50,MOOTAKARAN CHAVADI
,,77,50,KARAPAKKAM
,,78,50,SHOZHANGANALLUR P.U.OFFICE
,,79,50,KUMARAN NAGAR
,,80,50,SEMMANCHERI
,,81,50,NAVALUR
,,82,50,SIPCOT
,,83,50,SIRUSERI I.T.PARK
,,84,50,BROADWAY
,,85,50,SECRETARIAT
,,86,50,CHEPAUK
,,87,50,Q.M.C
,,88,50,FORESHORE ESTATE
,,89,50,A.M.S.HOSPITAL
,,90,50,ADYAR O.T.
,,91,50,INDIRA NAGAR
,,92,50,SRP TOOLS
,,93,50,KANDANCHAVADI
,,94,50,THORAPPAKKAM TEA SHOP
,,95,50,THORAPPAKKAM P.T.C COLONY
,,96,50,KANNAGI NAGAR S.C.B.
,,97,50,BROADWAY
,,98,50,SECRETARIAT
,,99,50,CHEPAUK
,,100,50,Q.M.C
,,101,50,FORESHORE ESTATE
,,102,50,A.M.S.HOSPITAL
,,103,50,ADYAR O.T.
,,104,50,INDIRA NAGAR
,,105,50,SRP TOOLS
,,106,50,KANDANCHAVADI
,,107,50,THORAPPAKKAM TEA SHOP
,,108,50,THORAPPAKKAM P.T.C COLONY
,,109,50,KANNAGI NAGAR S.C.B.
,,110,50,ADYAR B.S.
,,111,50,ADYAR DEPOT
,,112,50,SRP TOOLS
,,113,50,KANDANCHAVADI
,,114,50,THORAPPAKKAM TEA SHOP
,,115,50,MOOTAKARAN CHAVADI
,,116,50,KARAPAKKAM
,,117,50,SHOZHANGANALLUR P.U.OFFICE
,,118,50,KUMARAN NAGAR
,,119,50,SEMMANCHERI
,,120,50,NAVALUR
,,121,50,CHURCH
,,122,50,PALAVASTHIC CHEMICALS
,,123,50,HINDUSTAN ENG. COLLEGE
,,124,50,KELAMBAKKAM
,,125,50,CHENGAMMAL RD. JN.
,,126,50,KOMAN NAGAR RD JN.
,,127,50,KALAVAKKAM TEA STALL
,,128,50,THIRUPORUR
,,129,50,MANAMATHI ROAD JN
,,130,50,CHIRUTHAVOOR JN.
,,131,50,AMMUR COLONY
,,132,50,KALAVAKKAM
,,133,50,MANAMATHI SCHOOL
,,134,50,MANAMATHI
,,135,50,BROADWAY
,,136,50,SECRETARIAT
,,137,50,CHEPAUK
,,138,50,Q.M.C
,,139,50,FORESHORE ESTATE
,,140,50,A.M.S.HOSPITAL
,,141,50,ADYAR O.T.
,,142,50,ADYAR DEPOT
,,143,50,SRP TOOLS
,,144,50,KANDANCHAVADI
,,145,50,THORAPPAKKAM TEA SHOP
,,146,50,MOOTAKARAN CHAVADI
,,147,50,KARAPAKKAM
,,148,50,SHOZHANGANALLUR P.U.OFFICE
,,149,50,KUMARAN NAGAR
,,150,50,NUCLEUS COMPANY
,,151,50,PERUMPAKKAM S.C.B.
,,152,50,BROADWAY
,,153,50,SECRETARIAT
,,154,50,CHEPAUK
,,155,50,Q.M.C
,,156,50,FORESHORE ESTATE
,,157,50,A.M.S.HOSPITAL
,,158,50,ADYAR O.T.
,,159,50,ADYAR DEPOT
,,160,50,SRP TOOLS
,,161,50,KANDANCHAVADI
,,162,50,THORAPPAKKAM TEA SHOP
,,163,50,OKK.THORAIPAKM SEC.COLONY
,,164,50,BROADWAY
,,165,50,SECRETARIAT
,,166,50,CHEPAUK
,,167,50,Q.M.C
,,168,50,FORESHORE ESTATE
,,169,50,A.M.S.HOSPITAL
,,170,50,ADYAR O.T.
,,171,50,INDIRA NAGAR WATER TANK
,,172,50,SRP TOOLS
,,173,50,KANDANCHAVADI
,,174,50,THORAPPAKKAM TEA SHOP
